Spread,Delta,Y_or_N,Confidence
1,420.000,0,6.139727e+02
1,860.000,0,7.994297e+02
1,640.000,1,2.726836e+02
1,200.000,1,8.025977e+02
1,860.000,0,8.192578e+02
1,420.000,1,3.134922e+02
1,200.000,1,6.733438e+02
1,640.000,0,7.035391e+02
10,420.000,1,960
10,860.000,0,5.628477e+02
10,640.000,0,1.565156e+02
10,200.000,1,960
10,860.000,0,7.323555e+02
10,420.000,1,960
10,200.000,1,9.466875e+02
10,640.000,1,2.316797e+02
1000,420.000,1,480
1000,860.000,1,7.964766e+02
1000,640.000,1,480
1000,200.000,1,480
1000,860.000,1,0
1000,420.000,1,8.119531e+01
1000,200.000,1,2.302773e+02
1000,640.000,1,8.737500e+01
