Spread,Delta,Y_or_N,Confidence
1,420.000,1,2.967539e+02
1,860.000,0,960
1,640.000,0,480
1,200.000,1,9.559375e+02
1,860.000,0,6.445742e+02
1,420.000,1,480
1,200.000,1,9.585820e+02
1,640.000,0,6.502930e+02
10,420.000,1,3.788555e+02
10,860.000,0,8.853281e+02
10,640.000,0,480
10,200.000,1,9.530703e+02
10,860.000,0,7.871523e+02
10,420.000,1,480
10,200.000,1,9.594336e+02
10,640.000,0,6.648047e+02
1000,420.000,1,5.709570e+02
1000,860.000,0,8.645547e+02
1000,640.000,0,6.785195e+02
1000,200.000,1,9.418711e+02
1000,860.000,0,9.476016e+02
1000,420.000,1,480
1000,200.000,1,9.144141e+02
1000,640.000,0,7.244922e+02
