Spread,Delta,Y_or_N,Confidence
1,420.000,1,8.006992e+02
1,860.000,0,3.002500e+02
1,640.000,1,7.197383e+02
1,200.000,1,960
1,860.000,0,5.876328e+02
1,420.000,0,7.537031e+02
1,200.000,1,9.284805e+02
1,640.000,0,1.091523e+02
10,420.000,1,8.036016e+02
10,860.000,1,6.252344e+02
10,640.000,0,3.085781e+02
10,200.000,1,9.039609e+02
10,860.000,1,1.945039e+02
10,420.000,1,4.399180e+02
10,200.000,1,960
10,640.000,0,4.226836e+02
1000,420.000,1,5.697969e+02
1000,860.000,1,4.062109e+02
1000,640.000,1,6.617188e+02
1000,200.000,1,8.839141e+02
1000,860.000,0,3.215352e+02
1000,420.000,1,7.913047e+02
1000,200.000,1,9.534062e+02
1000,640.000,1,5.597461e+02
