Spread,Delta,Y_or_N,Confidence
1,420.000,1,7.073945e+02
1,860.000,0,960
1,640.000,0,3.342148e+02
1,200.000,1,960
1,860.000,0,0
1,420.000,1,7.550820e+02
1,200.000,1,960
1,640.000,1,7.020703e+02
10,420.000,1,7.654961e+02
10,860.000,0,960
10,640.000,1,2.222812e+02
10,200.000,1,960
10,860.000,0,960
10,420.000,1,5.870234e+02
10,200.000,1,960
10,640.000,0,960
1000,420.000,1,6.163477e+02
1000,860.000,0,960
1000,640.000,0,7.581289e+02
1000,200.000,1,960
1000,860.000,0,960
1000,420.000,1,960
1000,200.000,1,960
1000,640.000,0,960
