Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
10000,1,1,14.720,530,1,-1.647656e+01
10000,1,2,4.539,530,1,5.085547e+01
10000,1,3,5.557,530,1,-1.501562e+01
10000,1,3,6.758,530,2,-4.976172e+01
10000,1,4,5.407,860,1,2.507930e+02
10000,1,4,7.493,860,2,2.741016e+02
10000,1,4,8.343,860,3,3.072812e+02
10000,1,5,5.004,200,1,3.476562e+00
10000,1,6,2.969,365,1,-1.922656e+01
10000,1,6,4.337,365,2,6.347656e+00
10000,1,6,4.838,365,3,3.796484e+01
10000,1,7,3.538,695,1,-2.735938e+02
10000,1,8,1.853,200,1,2.226562e-01
10000,1,9,2.904,530,1,-1.512070e+02
10000,1,9,3.422,530,2,-9.883984e+01
10000,1,9,3.805,530,3,-6.623828e+01
10000,1,10,3.438,365,1,-8.332031e+00
10000,1,11,3.672,695,1,-6.921094e+01
10000,1,11,4.289,695,2,-1.325391e+02
10000,1,12,2.170,200,1,1.204297e+01
10000,1,13,4.506,860,1,3.945039e+02
10000,1,13,5.040,860,2,4.526875e+02
10000,1,14,1.920,365,1,1.162109e+01
10000,1,15,2.587,530,1,1.257578e+02
10000,1,16,5.474,860,1,2.673945e+02
10000,1,17,4.973,860,1,-3.727773e+02
10000,1,17,6.242,860,2,-4.264570e+02
10000,1,18,2.821,365,1,2.154688e+01
10000,1,19,2.788,365,1,-3.568359e+01
10000,1,20,1.770,365,1,9.696875e+01
10000,1,20,2.304,365,2,4.925000e+01
10000,1,21,2.137,695,1,1.930234e+02
10000,1,22,1.069,365,1,4.792578e+01
10000,1,23,2.087,530,1,-8.275000e+01
10000,1,23,2.688,530,2,-4.904297e+01
10000,1,24,2.721,530,1,2.511719e+00
10000,1,25,2.304,365,1,-1.116016e+01
10000,1,26,1.536,200,1,2.089062e+01
10000,1,27,3.171,695,1,-2.800898e+02
10000,1,28,3.322,695,1,-1.811445e+02
10000,1,29,2.037,365,1,6.435938e+01
10000,1,29,2.504,365,2,3.680078e+01
10000,1,30,4.156,860,1,-4.001406e+02
10000,1,31,2.804,530,1,3.002734e+01
10000,1,31,4.456,530,2,-4.018359e+01
10000,1,31,5.424,530,3,-7.266797e+01
10000,1,32,1.586,695,1,2.129844e+02
10000,1,33,2.037,365,1,-2.867188e+00
10000,1,34,2.137,200,1,2.589844e+00
10000,1,35,2.838,365,1,-1.232031e+01
10000,1,35,3.972,365,2,-7.859375e+01
10000,1,35,4.890,365,3,-3.541016e+01
10000,1,35,5.474,365,4,-1.216016e+01
10000,1,36,3.338,530,1,1.049414e+02
10000,1,36,4.306,530,2,1.477148e+02
10000,1,37,4.273,860,1,4.244219e+02
10000,1,38,1.185,200,1,-1.949609e+01
10000,1,38,1.770,200,2,-2.523438e+00
10000,1,39,1.670,695,1,-4.352617e+02
10000,1,39,2.204,695,2,-3.563984e+02
10000,1,40,1.402,200,1,1.217578e+01
10000,1,41,4.089,695,1,-3.792930e+02
10000,1,42,1.503,695,1,-3.783086e+02
10000,1,43,1.903,365,1,1.073438e+01
10000,1,44,3.855,695,1,-2.288516e+02
10000,1,45,2.454,530,1,1.931211e+02
10000,1,46,2.137,530,1,-3.136992e+02
10000,1,46,2.788,530,2,-2.563438e+02
10000,1,47,1.570,200,1,-1.596094e+01
10000,1,48,4.873,530,1,8.847266e+01
10000,1,49,2.103,530,1,-2.096875e+02
10000,1,50,1.636,200,1,1.309766e+01
10000,1,51,2.888,860,1,5.890273e+02
10000,1,52,3.455,695,1,-4.498477e+02
10000,1,53,1.836,860,1,-4.102930e+02
10000,1,54,4.857,530,1,-1.853359e+02
10000,1,55,1.953,860,1,5.211875e+02
10000,1,56,1.970,860,1,5.662070e+02
10000,1,57,1.987,695,1,3.966523e+02
10000,1,58,1.219,695,1,-3.865391e+02
10000,1,59,1.035,365,1,2.212500e+01
10000,1,60,2.571,860,1,-5.305391e+02
10000,1,61,1.052,200,1,-3.699219e+00
10000,1,62,0.868,365,1,2.277344e+00
10000,1,63,1.319,860,1,-6.171758e+02
10000,1,64,3.939,200,1,9.492188e+00
10000,1,65,0.802,695,1,-4.407812e+02
10000,1,65,2.304,695,2,5.778086e+02
10000,1,66,2.437,200,1,-1.921484e+01
10000,1,67,1.686,200,1,-3.003906e+00
10000,1,67,2.771,200,2,-1.610039e+02
10000,1,68,2.704,860,1,5.358477e+02
10000,1,69,2.454,200,1,2.636719e+00
10000,1,70,1.769,530,1,2.516641e+02
10000,1,71,2.537,860,1,5.382031e+02
10000,1,72,3.171,860,1,5.383125e+02
10000,1,73,3.205,365,1,2.306406e+02
10000,1,73,4.590,365,2,1.033984e+01
10000,1,73,5.140,365,3,-2.894531e+00
10000,1,74,2.471,200,1,1.835938e+00
10000,1,75,1.369,695,1,4.495000e+02
1,2,1,2.872,530,1,2.635430e+02
1,2,2,1.503,200,1,1.431250e+01
1,2,2,2.721,200,2,4.748047e+01
1,2,3,1.870,365,1,-1.525508e+02
1,2,4,0.952,200,1,-3.366406e+01
1,2,5,2.070,860,1,-6.440234e+02
1,2,6,1.202,200,1,8.713672e+01
1,2,7,1.853,695,1,5.482070e+02
1,2,8,2.638,860,1,717
1,2,9,1.119,200,1,-1.068359e+01
1,2,10,1.886,860,1,-6.437773e+02
