Spread,Delta, Estimate
1,420,8.000000e-01
1,860,4.000000e-01
1,640,7.000000e-01
1,200,8.000000e-01
1,860,4.000000e-01
1,420,5.000000e-01
1,200,8.000000e-01
1,640,6.000000e-01
10000,420,8.000000e-01
10000,860,4.000000e-01
10000,640,5.000000e-01
10000,200,9.000000e-01
10000,860,3.000000e-01
10000,420,4.000000e-01
10000,200,8.000000e-01
10000,640,5.000000e-01
