Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,2,11,860,2.986,251,5.806641e+02,1,9,1
2,1,2,12,860,3.120,-190,7.007266e+02,-1,3,0
2,1,2,13,695,3.170,-233,-4.428867e+02,1,7,0
2,1,2,14,200,2.386,3,3.987500e+01,-1,1,0
2,1,2,15,365,2.102,-97,-1.843711e+02,1,2,0
2,1,2,16,200,2.152,-59,-8.832031e+00,-1,1,0
2,1,2,17,530,2.819,-207,-4.816133e+02,-1,1,1
2,1,2,18,695,2.352,-281,6.286992e+02,-1,5,0
2,1,2,19,860,3.570,-322,-7.920859e+02,-1,8,1
2,1,2,20,365,10.061,-95,2.583281e+02,1,8,1
2,1,2,21,530,5.889,127,-4.136836e+02,-1,7,1
2,1,2,22,695,2.936,334,5.374414e+02,1,5,1
2,1,2,23,695,2.068,150,6.531445e+02,1,2,1
2,1,2,24,365,5.689,-47,-1.581445e+02,-1,8,1
2,1,2,25,365,2.319,-60,-2.007148e+02,1,7,1
2,1,2,26,365,2.085,-154,1.584492e+02,1,2,1
2,1,2,27,860,2.569,386,7.139336e+02,-1,7,0
2,1,2,28,530,2.252,-195,3.758789e+02,1,4,1
2,1,2,29,200,2.552,-9,-1.571602e+02,-1,8,1
2,1,2,30,530,4.087,-2,4.171328e+02,1,8,1
2,1,2,31,200,2.552,-5,-1.268281e+02,-1,7,1
2,1,2,32,200,2.135,49,1.002891e+02,-1,2,0
2,1,2,33,530,3.804,-169,-3.783594e+02,1,6,0
2,1,2,34,530,2.803,104,-3.972031e+02,-1,6,1
2,1,2,35,530,2.102,260,4.709727e+02,-1,4,0
2,1,2,36,695,2.018,190,5.628594e+02,-1,7,0
2,1,2,37,365,3.153,-126,2.402852e+02,1,3,1
2,1,2,38,860,3.170,387,7.073359e+02,-1,1,0
2,1,2,39,365,2.686,114,1.625938e+02,1,8,1
2,1,2,40,365,2.035,135,1.693008e+02,1,2,1
2,1,2,41,365,2.836,6,-3.011055e+02,1,4,0
2,1,2,42,365,2.552,-111,-2.071797e+02,-1,6,1
2,1,2,43,695,2.803,58,-5.222656e+02,-1,5,1
2,1,2,44,200,2.436,69,-1.693359e+01,1,6,1
2,1,2,45,530,3.954,-220,4.805859e+02,1,3,1
2,1,2,46,695,2.402,-134,-5.130312e+02,1,6,0
2,1,2,47,530,2.853,14,369,1,8,1
2,1,2,48,200,2.502,0,8.164062e+00,1,6,1
2,1,2,49,530,2.619,198,4.154727e+02,1,2,1
2,1,2,50,200,2.102,-55,-3.542969e+00,-1,3,1
2,1,2,51,860,1.901,11,-6.901680e+02,-1,9,1
2,1,2,52,200,3.253,24,-4.974219e+01,-1,4,1
2,1,2,53,530,1.718,-157,3.527188e+02,-1,2,0
2,1,2,54,365,2.569,-73,-2.299570e+02,-1,5,1
2,1,2,55,695,2.418,-327,-5.319258e+02,-1,4,1
2,1,2,56,695,2.269,287,4.811797e+02,1,4,1
2,1,2,57,860,2.686,357,6.857266e+02,-1,4,0
2,1,2,58,530,1.885,66,4.364023e+02,-1,6,0
2,1,2,59,860,3.103,-185,7.335312e+02,1,4,1
2,1,2,60,365,2.469,-175,-2.433750e+02,1,8,1
2,1,2,61,695,2.185,30,5.016641e+02,1,3,1
2,1,2,62,695,2.068,-155,-5.548359e+02,1,5,0
2,1,2,63,200,2.085,99,-5.507812e+00,-1,4,1
2,1,2,64,365,1.751,117,2.417227e+02,1,3,1
2,1,2,65,530,1.751,191,3.781562e+02,-1,6,0
2,1,2,66,695,1.952,140,5.027656e+02,1,7,1
2,1,2,67,530,2.218,150,-4.785078e+02,1,9,0
2,1,2,68,860,3.437,232,6.418516e+02,-1,9,0
2,1,2,69,860,2.219,-99,-7.159688e+02,-1,4,1
2,1,2,70,860,2.819,-121,6.786016e+02,1,8,1
2,1,2,71,695,2.569,-340,-5.527148e+02,1,6,0
2,1,2,72,365,2.002,-106,-1.490703e+02,1,4,0
2,1,2,73,695,2.986,-38,-5.854062e+02,-1,5,1
2,1,2,74,200,2.468,5,1.081328e+02,-1,4,1
2,1,2,75,860,2.085,-25,6.613164e+02,1,8,1
