Spread,Delta,Y_or_N,Confidence
1,366.667,1,400
1,700.000,0,684
1,533.333,0,511
1,200.000,1,731
1,700.000,0,800
1,366.667,0,266
1,200.000,1,775
1,533.333,0,561
10000,366.667,1,785
10000,700.000,0,800
10000,533.333,0,800
10000,200.000,1,800
10000,700.000,0,800
10000,366.667,1,800
10000,200.000,1,800
10000,533.333,0,800
