Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,2.576,700,1,-552
1,2,1.401,800,1,-718
1,3,1.151,200,1,-11
1,4,1.135,600,1,-458
1,5,1.118,800,1,-691
1,6,1.218,700,1,-603
1,7,1.184,300,1,-9
1,8,1.084,800,1,-663
1,9,1.734,800,1,697
1,10,1.718,500,1,-378
1,11,1.351,200,1,-9
1,12,1.468,500,1,-409
1,13,1.168,300,1,-5
1,14,1.151,300,1,-33
1,14,2.518,300,2,-14
1,15,1.101,200,1,-7
1,16,1.134,400,1,-11
1,17,1.101,800,1,-695
1,18,1.468,500,1,-358
1,19,2.001,500,1,380
1,20,1.018,300,1,-12
1,21,0.884,800,1,-725
1,22,1.084,700,1,-577
1,23,1.484,400,1,9
1,24,1.134,200,1,1
1,25,0.984,500,1,-352
1,26,1.168,700,1,-585
1,27,1.018,200,1,4
1,28,1.284,500,1,-397
1,29,0.968,700,1,-606
1,30,1.602,400,1,-11
1,31,0.918,600,1,-464
1,32,1.068,400,1,-28
1,32,1.768,400,2,0
1,33,2.334,400,1,-305
1,34,1.318,300,1,-4
1,35,0.985,700,1,-627
1,36,1.418,500,1,-372
1,37,1.385,700,1,-577
1,38,1.551,800,1,687
1,39,1.134,700,1,-610
1,40,1.584,700,1,555
1,41,1.018,600,1,-461
1,42,1.134,800,1,-701
1,43,1.051,300,1,5
1,43,1.618,300,2,-9
1,44,1.084,200,1,-22
1,45,1.234,400,1,-300
1,46,1.301,400,1,-4
1,47,0.851,200,1,4
1,47,1.318,200,2,-2
1,48,1.101,300,1,-20
1,49,1.001,600,1,-473
1,50,1.318,200,1,-23
1,50,2.518,200,2,-16
1,51,1.734,300,1,-15
1,52,0.918,600,1,-489
1,53,1.234,600,1,-462
1,54,1.068,400,1,-10
1,55,1.068,300,1,-5
1,56,1.301,500,1,-48
1,56,1.718,500,2,-37
1,56,2.634,500,3,370
1,57,1.434,600,1,462
1,58,0.834,300,1,-12
1,59,1.218,800,1,-678
1,60,1.168,600,1,-477
1,61,0.984,200,1,-15
1,62,1.051,600,1,-479
1,63,0.934,400,1,-14
1,64,1.001,700,1,-595
1,65,0.918,200,1,-31
1,65,1.751,200,2,-19
1,66,1.218,400,1,-273
1,67,1.284,800,1,-652
1,68,1.118,500,1,-407
1,69,1.318,600,1,503
1,70,1.184,500,1,-364
2,1,1.404,500,1,-341
2,2,200.394,700,1,-538
2,3,1.901,200,1,-16
2,4,0.835,700,1,-630
2,5,1.451,500,1,-356
2,6,0.984,500,1,345
2,7,0.818,400,1,-245
2,8,1.251,600,1,-460
2,9,1.368,700,1,603
2,10,1.934,300,1,-9
2,11,0.917,500,1,-378
2,12,0.984,700,1,-610
2,13,2.384,800,1,623
2,14,1.268,300,1,-2
2,14,1.651,300,2,-6
2,15,1.351,800,1,-653
2,16,0.868,300,1,-11
2,17,1.284,400,1,-41
2,17,1.868,400,2,-31
2,18,0.968,400,1,-32
2,19,0.984,400,1,-22
2,20,1.118,300,1,-20
2,21,0.951,200,1,-3
2,22,1.168,300,1,-6
2,23,1.168,800,1,-657
2,24,1.084,400,1,-11
2,25,1.018,400,1,-24
2,26,1.218,700,1,-590
2,27,1.101,400,1,-8
2,28,0.901,600,1,-486
2,29,1.118,600,1,-483
2,30,1.484,500,1,-371
2,31,0.984,800,1,-641
2,32,1.184,700,1,-581
2,33,1.051,600,1,-516
2,34,1.068,700,1,-571
2,35,2.368,500,1,-23
2,35,3.468,500,2,-423
2,36,1.285,800,1,-711
2,37,1.684,600,1,556
2,38,1.334,600,1,-531
2,39,1.051,700,1,-627
2,40,1.184,600,1,-488
2,41,1.334,400,1,294
2,42,1.034,800,1,-654
2,43,1.418,800,1,-697
2,44,1.218,200,1,-27
2,44,1.634,200,2,-20
2,44,2.101,200,3,-2
2,45,0.851,500,1,-386
2,46,1.034,700,1,-638
2,47,1.034,200,1,-9
2,47,2.218,200,2,-4
2,48,1.418,300,1,-25
2,49,0.885,600,1,-544
2,50,1.351,200,1,1
2,51,0.984,800,1,-719
2,52,0.951,300,1,-10
2,53,0.818,700,1,-620
2,54,1.168,200,1,1
2,55,1.201,800,1,-688
2,56,1.484,400,1,-4
2,56,1.901,400,2,7
2,57,0.868,500,1,-360
2,58,1.118,200,1,-3
2,59,0.951,200,1,-4
2,60,1.084,300,1,-20
2,61,0.801,500,1,-400
2,62,0.884,600,1,-476
2,63,1.568,800,1,680
2,64,1.301,600,1,-428
2,64,1.651,600,2,-504
2,65,1.134,200,1,-4
2,66,0.918,400,1,-16
2,67,0.834,500,1,-394
2,68,1.318,200,1,-4
2,69,0.884,300,1,-22
2,70,1.634,300,1,-9
