Spread,Delta,Y_or_N,Confidence
1,420.000,1,6.907461e+02
1,860.000,0,5.553125e+02
1,640.000,0,4.555117e+02
1,200.000,1,960
1,860.000,0,5.266680e+02
1,420.000,1,5.342695e+02
1,200.000,1,7.825781e+02
1,640.000,1,480
10,420.000,1,6.028555e+02
10,860.000,0,5.813945e+02
10,640.000,0,4.001562e+02
10,200.000,1,6.725078e+02
10,860.000,0,6.326484e+02
10,420.000,0,4.116562e+02
10,200.000,1,7.197344e+02
10,640.000,0,4.409492e+02
1000,420.000,1,5.753633e+02
1000,860.000,0,4.074414e+02
1000,640.000,0,5.330664e+02
1000,200.000,1,6.141445e+02
1000,860.000,0,3.975938e+02
1000,420.000,1,3.785508e+02
1000,200.000,1,7.324531e+02
1000,640.000,0,3.640234e+02
