Spread,Delta,Y_or_N,Confidence
1,420.000,1,6.242578e+02
1,860.000,0,2.382852e+02
1,640.000,1,480
1,200.000,1,9.092539e+02
1,860.000,0,6.139688e+02
1,420.000,1,6.452383e+02
1,200.000,1,9.293320e+02
1,640.000,0,480
10,420.000,1,6.114258e+02
10,860.000,0,7.900781e+02
10,640.000,1,480
10,200.000,1,8.963828e+02
10,860.000,0,2.512695e+02
10,420.000,1,3.887422e+02
10,200.000,1,960
10,640.000,0,3.525977e+02
1000,420.000,1,9.454570e+02
1000,860.000,0,7.777617e+02
1000,640.000,0,6.938516e+02
1000,200.000,1,9.407344e+02
1000,860.000,0,3.684766e+02
1000,420.000,1,480
1000,200.000,1,9.401406e+02
1000,640.000,0,1.144023e+02
