Spread,Delta,Y_or_N,Confidence
1,420.000,0,8.411953e+02
1,860.000,0,6.154102e+02
1,640.000,0,5.617617e+02
1,200.000,1,960
1,860.000,0,960
1,420.000,0,5.938438e+02
1,200.000,1,8.963555e+02
1,640.000,0,5.753320e+02
10,420.000,1,480
10,860.000,0,7.418203e+02
10,640.000,0,7.141016e+02
10,200.000,1,7.922773e+02
10,860.000,0,6.587734e+02
10,420.000,1,7.454688e+02
10,200.000,1,7.792969e+02
10,640.000,0,6.444414e+02
1000,420.000,1,480
1000,860.000,0,480
1000,640.000,0,7.248516e+02
1000,200.000,1,8.823047e+02
1000,860.000,0,960
1000,420.000,0,480
1000,200.000,1,480
1000,640.000,1,8.528594e+02
