Spread,Delta,Y_or_N,Confidence
1,420.000,1,480
1,860.000,0,7.863359e+02
1,640.000,0,480
1,200.000,1,7.786328e+02
1,860.000,0,7.121836e+02
1,420.000,1,6.787969e+02
1,200.000,1,7.584219e+02
1,640.000,0,6.290742e+02
10,420.000,1,6.296094e+02
10,860.000,0,6.983867e+02
10,640.000,0,2.875156e+02
10,200.000,1,8.052617e+02
10,860.000,0,8.137266e+02
10,420.000,1,7.461797e+02
10,200.000,1,7.663711e+02
10,640.000,0,5.530625e+02
1000,420.000,1,7.853516e+02
1000,860.000,0,7.284219e+02
1000,640.000,0,4.495117e+02
1000,200.000,1,7.550078e+02
1000,860.000,0,6.797852e+02
1000,420.000,1,7.928906e+02
1000,200.000,1,7.878203e+02
1000,640.000,0,7.174375e+02
