Spread,Delta,Y_or_N,Confidence
1,420.000,0,2.763906e+02
1,860.000,1,6.327539e+02
1,640.000,1,6.016406e+02
1,200.000,1,7.589648e+02
1,860.000,0,3.784961e+02
1,420.000,1,4.121094e+02
1,200.000,1,670
1,640.000,0,4.140625e+02
10,420.000,0,7.045234e+02
10,860.000,0,6.811836e+02
10,640.000,0,6.368555e+02
10,200.000,1,7.883867e+02
10,860.000,0,6.672852e+02
10,420.000,1,5.350742e+02
10,200.000,1,8.258047e+02
10,640.000,1,3.723789e+02
1000,420.000,1,6.861562e+02
1000,860.000,0,480
1000,640.000,1,6.313047e+02
1000,200.000,1,8.027578e+02
1000,860.000,0,3.613555e+02
1000,420.000,1,7.553398e+02
1000,200.000,1,960
1000,640.000,1,6.037266e+02
