Spread,Delta,Y_or_N,Confidence
1,420.000,0,5.487930e+02
1,860.000,0,8.036641e+02
1,640.000,1,3.247539e+02
1,200.000,1,8.901953e+02
1,860.000,0,6.116562e+02
1,420.000,1,2.109453e+02
1,200.000,1,7.408516e+02
1,640.000,0,6.759844e+02
10,420.000,1,4.013008e+02
10,860.000,0,8.501094e+02
10,640.000,0,3.909023e+02
10,200.000,1,960
10,860.000,0,960
10,420.000,1,6.096406e+02
10,200.000,1,960
10,640.000,0,8.488789e+02
1000,420.000,1,9.344453e+02
1000,860.000,0,960
1000,640.000,0,9.233203e+02
1000,200.000,1,960
1000,860.000,0,960
1000,420.000,1,7.944453e+02
1000,200.000,1,960
1000,640.000,0,9.121328e+02
