Spread,Delta,Y_or_N,Confidence
10,420.000,1,2.301328e+02
10,860.000,0,1.547539e+02
10,640.000,0,1.565703e+02
10,200.000,1,2.398320e+02
10,860.000,0,8.705469e+01
10,420.000,0,8.790469e+02
10,200.000,1,960
10,640.000,0,960
1,420.000,0,480
1,860.000,0,3.302148e+02
1,640.000,1,2.358438e+02
1,200.000,1,3.395430e+02
1,860.000,0,8.424180e+02
1,420.000,1,6.733242e+02
1,200.000,0,7.372812e+02
1,640.000,0,6.990625e+02
1000,420.000,1,6.860078e+02
1000,860.000,0,7.135039e+02
1000,640.000,0,8.014375e+02
1000,200.000,1,8.876875e+02
1000,860.000,1,2.789766e+02
1000,420.000,1,7.233281e+02
1000,200.000,1,9.080820e+02
1000,640.000,0,6.935039e+02
