Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1000,1,1,640,23.454,-20,-2.603125e+01,-1,5,0
2,1000,1,2,200,4.638,19,1.516797e+01,-1,5,1
2,1000,1,3,420,3.738,-141,9.148438e+00,-1,5,1
2,1000,1,4,860,6.273,104,1.621484e+01,-1,5,0
2,10,2,1,420,4.402,208,-4.582031e+00,1,5,1
2,10,2,2,200,2.353,-50,-1.437500e+01,1,4,1
2,10,2,3,860,2.836,-269,6.835938e+00,1,5,0
2,10,2,4,640,2.519,5,-7.070312e+00,-1,5,0
2,1,3,1,860,3.259,-279,-5.257422e+01,1,5,0
2,1,3,2,640,2.335,-212,-1.206250e+01,-1,8,1
2,1,3,3,200,2.119,-76,3.808594e+00,-1,6,1
2,1,3,4,420,2.135,-44,2.349609e+01,-1,2,0
