Spread,Delta,Y_or_N,Confidence
10,420.000,0,7.330078e+02
10,860.000,0,960
10,640.000,0,9.364336e+02
10,200.000,1,960
10,860.000,0,8.988203e+02
10,420.000,1,6.886758e+02
10,200.000,1,8.068945e+02
10,640.000,0,7.536133e+02
1000,420.000,1,7.797773e+02
1000,860.000,0,8.617617e+02
1000,640.000,0,7.927695e+02
1000,200.000,1,9.010156e+02
1000,860.000,0,8.344766e+02
1000,420.000,1,8.689688e+02
1000,200.000,1,9.401289e+02
1000,640.000,1,9.514688e+02
1,420.000,1,9.050586e+02
1,860.000,0,9.434961e+02
1,640.000,0,8.964531e+02
1,200.000,1,960
1,860.000,0,960
1,420.000,1,9.555508e+02
1,200.000,1,9.548789e+02
1,640.000,0,960
