Spread,Delta,Y_or_N,Confidence
1,420.000,1,960
1,860.000,0,5.468047e+02
1,640.000,1,5.932148e+02
1,200.000,1,960
1,860.000,0,7.299297e+02
1,420.000,1,960
1,200.000,1,960
1,640.000,1,5.543281e+02
10,420.000,1,960
10,860.000,0,8.311680e+02
10,640.000,1,5.422070e+02
10,200.000,1,960
10,860.000,0,8.804141e+02
10,420.000,1,8.542969e+02
10,200.000,1,960
10,640.000,0,5.725039e+02
1000,420.000,1,5.407852e+02
1000,860.000,0,960
1000,640.000,0,8.806445e+02
1000,200.000,1,960
1000,860.000,0,960
1000,420.000,1,7.166602e+02
1000,200.000,1,960
1000,640.000,0,4.081484e+02
