Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10,1,1,860,19.093,-354,9.361328e+01,1,5,0
2,10,1,2,420,11.562,39,1.382500e+02,1,5,1
2,10,1,3,640,9.160,-38,1.693711e+02,-1,6,0
2,10,1,4,200,6.791,70,-1.358203e+01,1,6,1
2,1000,2,1,860,5.563,36,3.640469e+02,1,5,1
2,1000,2,2,420,6.738,-29,-1.141016e+01,1,5,1
2,1000,2,3,200,3.354,40,6.277344e+00,-1,5,1
2,1000,2,4,640,5.823,302,1.498711e+02,-1,5,0
2,1,3,1,640,4.300,-270,1.483789e+02,-1,3,0
2,1,3,2,860,5.189,-79,-3.213906e+02,-1,2,0
2,1,3,3,420,5.206,-127,-2.511523e+02,-1,3,1
2,1,3,4,200,2.886,-26,5.250000e+00,1,4,1
