Spread,Delta,Y_or_N,Confidence
1,420.000,1,6.713672e+02
1,860.000,0,9.134102e+02
1,640.000,1,5.271562e+02
1,200.000,1,960
1,860.000,0,5.936055e+02
1,420.000,1,3.398906e+02
1,200.000,1,8.864180e+02
1,640.000,0,3.478125e+02
1000,420.000,1,8.510039e+02
1000,860.000,0,8.009219e+02
1000,640.000,1,3.366250e+02
1000,200.000,1,9.368555e+02
1000,860.000,0,4.352852e+02
1000,420.000,1,5.755547e+02
1000,200.000,1,8.499570e+02
1000,640.000,0,3.105938e+02
10,420.000,1,7.884297e+02
10,860.000,0,4.371289e+02
10,640.000,1,3.676602e+02
10,200.000,1,960
10,860.000,0,3.455703e+02
10,420.000,1,5.582578e+02
10,200.000,1,960
10,640.000,0,2.574766e+02
