Spread,Delta,Y_or_N,Confidence
10,420.000,0,5.637070e+02
10,860.000,0,8.138008e+02
10,640.000,1,6.505586e+02
10,200.000,1,960
10,860.000,0,4.341211e+02
10,420.000,1,960
10,200.000,1,8.199727e+02
10,640.000,0,7.987383e+02
1000,420.000,1,960
1000,860.000,1,6.348125e+02
1000,640.000,1,7.249219e+02
1000,200.000,1,960
1000,860.000,1,7.929062e+02
1000,420.000,1,8.105156e+02
1000,200.000,1,960
1000,640.000,1,7.516328e+02
1,420.000,1,960
1,860.000,0,960
1,640.000,1,960
1,200.000,1,960
1,860.000,0,6.225273e+02
1,420.000,1,960
1,200.000,1,960
1,640.000,0,960
