Spread,Delta,Y_or_N,Confidence
1,420.000,1,8.607539e+02
1,860.000,0,9.232305e+02
1,640.000,1,4.076602e+02
1,200.000,1,9.551875e+02
1,860.000,0,960
1,420.000,1,7.206797e+02
1,200.000,1,960
1,640.000,1,480
1000,420.000,1,8.281914e+02
1000,860.000,0,9.229180e+02
1000,640.000,1,2.805625e+02
1000,200.000,1,960
1000,860.000,0,7.349648e+02
1000,420.000,0,4.585938e+00
1000,200.000,1,960
1000,640.000,1,2.279570e+02
10,420.000,1,9.241328e+02
10,860.000,0,9.434375e+02
10,640.000,1,9.536484e+02
10,200.000,1,960
10,860.000,0,8.840352e+02
10,420.000,1,8.564180e+02
10,200.000,1,9.578203e+02
10,640.000,1,6.095117e+02
