Spread,Delta,Y_or_N,Confidence
1000,420.000,1,4.023086e+02
1000,860.000,0,3.949688e+02
1000,640.000,0,3.544180e+02
1000,200.000,1,6.761016e+02
1000,860.000,0,4.030820e+02
1000,420.000,1,5.713828e+02
1000,200.000,1,480
1000,640.000,0,4.146094e+02
10,420.000,1,5.944961e+02
10,860.000,0,4.309531e+02
10,640.000,0,4.366719e+02
10,200.000,1,6.567539e+02
10,860.000,0,5.672852e+02
10,420.000,1,5.754844e+02
10,200.000,1,7.621172e+02
10,640.000,0,3.814180e+02
1,420.000,1,480
1,860.000,0,2.791914e+02
1,640.000,0,6.068633e+02
1,200.000,1,7.795078e+02
1,860.000,0,2.025508e+02
1,420.000,1,5.715547e+02
1,200.000,1,6.187852e+02
1,640.000,1,3.669297e+02
