Spread,Delta,Y_or_N,Confidence
1000,420.000,1,7.437500e+02
1000,860.000,0,1.536484e+02
1000,640.000,1,480
1000,200.000,1,9.134258e+02
1000,860.000,0,2.627148e+02
1000,420.000,1,7.094219e+02
1000,200.000,1,9.056133e+02
1000,640.000,1,480
10,420.000,0,2.457812e+02
10,860.000,0,9.317773e+02
10,640.000,0,7.891094e+02
10,200.000,1,9.538008e+02
10,860.000,0,8.961016e+02
10,420.000,1,1.708633e+02
10,200.000,1,7.862617e+02
10,640.000,0,5.994297e+02
1,420.000,1,3.017422e+02
1,860.000,0,8.426250e+02
1,640.000,0,8.103008e+02
1,200.000,1,8.715977e+02
1,860.000,0,2.454453e+02
1,420.000,1,3.045664e+02
1,200.000,1,8.392930e+02
1,640.000,0,2.713594e+02
