Spread,Delta,Y_or_N,Confidence
1,420.000,1,2.606836e+02
1,860.000,0,7.548203e+02
1,640.000,0,6.256016e+02
1,200.000,1,960
1,860.000,0,7.225156e+02
1,420.000,1,6.689805e+02
1,200.000,1,9.546719e+02
1,640.000,0,6.905938e+02
10,420.000,1,8.793906e+02
10,860.000,0,9.577070e+02
10,640.000,0,7.294336e+02
10,200.000,1,960
10,860.000,0,960
10,420.000,1,8.621094e+02
10,200.000,1,960
10,640.000,0,7.232227e+02
1000,420.000,1,9.139922e+02
1000,860.000,0,960
1000,640.000,0,8.877734e+02
1000,200.000,1,960
1000,860.000,0,8.883125e+02
1000,420.000,1,960
1000,200.000,1,960
1000,640.000,0,6.778633e+02
