Spread,Delta,Y_or_N,Confidence
10,420.000,1,6.720391e+02
10,860.000,1,5.990078e+02
10,640.000,1,7.935039e+02
10,200.000,1,9.164336e+02
10,860.000,1,6.005820e+02
10,420.000,1,8.083008e+02
10,200.000,1,9.227227e+02
10,640.000,1,5.938203e+02
1,420.000,1,7.102227e+02
1,860.000,0,3.918555e+02
1,640.000,1,5.727930e+02
1,200.000,1,9.275273e+02
1,860.000,0,6.643281e+02
1,420.000,1,6.928867e+02
1,200.000,1,9.318281e+02
1,640.000,0,3.622070e+02
1000,420.000,1,7.936602e+02
1000,860.000,0,7.632500e+02
1000,640.000,1,5.823750e+02
1000,200.000,1,8.864883e+02
1000,860.000,0,6.791953e+02
1000,420.000,1,6.697227e+02
1000,200.000,1,8.782344e+02
1000,640.000,0,7.403008e+02
