Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1000,1,1,640,25.187,-143,4.184805e+02,1,5,1
2,1000,1,2,200,3.753,-70,6.589844e+00,1,5,1
2,1000,1,3,420,13.181,109,2.693750e+01,1,5,1
2,1000,1,4,860,18.954,-296,5.967227e+02,-1,5,0
2,1,2,1,420,11.002,-182,3.514727e+02,1,4,1
2,1,2,2,860,4.321,247,8.001211e+02,1,8,1
2,1,2,3,200,21.173,73,-1.269531e+00,1,6,1
2,1,2,4,640,5.138,-276,-5.290664e+02,-1,9,1
2,10,3,1,860,11.650,-279,7.538984e+02,1,5,1
2,10,3,2,640,3.787,-212,5.480391e+02,-1,6,0
2,10,3,3,200,5.439,-76,2.375000e+00,-1,5,1
2,10,3,4,420,2.703,-44,2.723789e+02,-1,4,0
