Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,22.670,860,1,-3.523438e+00
1,1,2,3.838,420,1,-2.107031e+01
1,1,3,7.526,640,1,3.900781e+01
1,1,3,8.760,640,2,2.167695e+02
1,1,4,3.555,200,1,-2.914062e+00
1000,2,1,3.488,860,1,4.821328e+02
1000,2,2,2.819,420,1,-1.770312e+01
1000,2,2,5.572,420,2,-7.636719e+01
1000,2,3,2.170,200,1,-1.766055e+02
1000,2,4,1.585,640,1,-5.501172e+01
10,3,1,1.116,640,1,-2.486328e+01
10,3,2,1.536,860,1,-3.610547e+01
10,3,3,0.985,420,1,-1.152344e+01
10,3,4,1.135,200,1,-1.698438e+01
