Spread,Delta,Y_or_N,Confidence
1000,420.000,0,960
1000,860.000,0,960
1000,640.000,0,9.428086e+02
1000,200.000,1,7.609180e+02
1000,860.000,0,9.521211e+02
1000,420.000,0,9.298125e+02
1000,200.000,1,7.131602e+02
1000,640.000,0,9.311523e+02
1,420.000,0,480
1,860.000,0,9.363477e+02
1,640.000,0,480
1,200.000,0,4.316758e+02
1,860.000,0,7.068828e+02
1,420.000,0,480
1,200.000,1,5.444805e+02
1,640.000,0,8.560547e+02
10,420.000,0,6.135312e+02
10,860.000,0,960
10,640.000,0,8.292930e+02
10,200.000,1,8.914531e+02
10,860.000,0,8.551992e+02
10,420.000,0,6.294922e+02
10,200.000,1,7.664414e+02
10,640.000,0,8.509375e+02
