Spread,Delta,Y_or_N,Confidence
1,420.000,1,960
1,860.000,0,8.502578e+02
1,640.000,1,9.598359e+02
1,200.000,1,960
1,860.000,0,7.864219e+02
1,420.000,1,960
1,200.000,1,960
1,640.000,0,6.260664e+02
10,420.000,0,960
10,860.000,0,480
10,640.000,0,960
10,200.000,1,960
10,860.000,0,960
10,420.000,0,960
10,200.000,1,960
10,640.000,0,960
1000,420.000,0,960
1000,860.000,0,960
1000,640.000,0,960
1000,200.000,1,9.567539e+02
1000,860.000,0,9.590156e+02
1000,420.000,0,960
1000,200.000,1,960
1000,640.000,0,960
