Spread,Delta,Y_or_N,Confidence
10,420.000,0,480
10,860.000,0,8.314336e+02
10,640.000,0,5.803750e+02
10,200.000,1,7.047070e+02
10,860.000,0,9.215625e+02
10,420.000,1,4.939492e+02
10,200.000,1,480
10,640.000,0,6.786367e+02
1000,420.000,1,7.403633e+02
1000,860.000,0,8.299375e+02
1000,640.000,0,7.024492e+02
1000,200.000,1,960
1000,860.000,0,960
1000,420.000,1,6.877109e+02
1000,200.000,1,960
1000,640.000,0,7.781367e+02
1,420.000,0,7.584727e+02
1,860.000,0,8.741836e+02
1,640.000,0,7.555547e+02
1,200.000,1,8.895977e+02
1,860.000,0,960
1,420.000,1,6.299922e+02
1,200.000,1,8.275859e+02
1,640.000,0,7.496406e+02
