Spread,Delta,Y_or_N,Confidence
1000,420.000,1,8.156875e+02
1000,860.000,0,8.798164e+02
1000,640.000,0,8.809531e+02
1000,200.000,1,9.450078e+02
1000,860.000,0,9.426914e+02
1000,420.000,1,9.247461e+02
1000,200.000,1,9.525273e+02
1000,640.000,0,9.574531e+02
1,420.000,1,9.515859e+02
1,860.000,0,9.498711e+02
1,640.000,0,9.266445e+02
1,200.000,1,9.374453e+02
1,860.000,0,9.318516e+02
1,420.000,1,8.945273e+02
1,200.000,1,9.428672e+02
1,640.000,0,9.444766e+02
10,420.000,1,9.393750e+02
10,860.000,0,9.410430e+02
10,640.000,0,9.394727e+02
10,200.000,1,9.408203e+02
10,860.000,0,9.476680e+02
10,420.000,1,9.412812e+02
10,200.000,0,1.664062e+00
10,640.000,0,960
