Spread,Delta,Y_or_N,Confidence
1000,420.000,0,5.452578e+02
1000,860.000,0,960
1000,640.000,0,960
1000,200.000,1,960
1000,860.000,0,960
1000,420.000,0,5.631914e+02
1000,200.000,1,960
1000,640.000,0,9.553789e+02
1,420.000,0,960
1,860.000,0,960
1,640.000,0,6.927031e+02
1,200.000,1,7.757578e+02
1,860.000,0,960
1,420.000,0,8.090820e+02
1,200.000,1,960
1,640.000,0,960
10,420.000,1,8.076328e+02
10,860.000,0,960
10,640.000,0,960
10,200.000,1,960
10,860.000,0,960
10,420.000,0,7.210820e+02
10,200.000,1,960
10,640.000,0,8.355781e+02
