"participant","condition_label","Constant_close","Constant_far","Variable_close","Variable_far"
"31","abstract",0.0428181802892563,0.664869067259674,0.256742408977963,0.466014894393788
"32","truck",0.029666664848485,0.43140774973977,0.0211818171652894,0.0102589289268973
"33","abstract",0.067560602267218,0.624354182022136,0.218893923055098,0.768065498995165
"34","truck",0.0686666636666669,0.365026790921317,0.217272713702481,0.572732156599331
"35","abstract",0.45293936427824,0.781291688955731,0.406757549931132,0.810669666345426
"36","truck",0.0722424198870527,0.424386915800968,0.147242416887053,0.301717271080544
"37","abstract",0.143833324606061,0.585586324027717,0.392727244479341,0.711654782701638
"38","truck",0.0449090890991737,0.663607161716519,0.494075720765844,0.885011931902531
"39","abstract",0.792363593876037,0.95385121987463,0.605106033126724,0.674425616812315
"40","truck",0.224545440041324,0.557842276963357,0.294924229779615,0.480342277744607
"41","abstract",0.330560587994492,0.248282748106957,0.399409067280994,0.645098233711497
"42","truck",0.0746969640275487,0.447654774889138,0.264530281815429,0.662026804421318
"43","abstract",0.100333327151516,0.596645848790366,0.463984821319562,0.640851208062129
"44","truck",0.0702424191597801,0.885303598545761,0.2011818012562,0.70031549413579
"45","abstract",0.0802121160716258,0.0911369093478425,0.0576969673911848,0.0493958348997397
"46","truck",0.257348462741049,0.466458345716147,0.218484830592288,0.696577399741445
"47","abstract",0.104378781829202,0.725818472720797,0.17387877601102,0.52526787021317
"48","truck",0.358636336669424,0.697407758427271,0.421121190807164,0.57543156423233
"49","abstract",0.100727266570248,0.515916683057293,0.238954527776861,0.647098233273997
"50","truck",0.0514696944573005,0.346693461150484,0.151848473468321,0.399336321762092
"51","abstract",0.198893926327825,0.456556560177642,0.961545409586781,0.991586340215218
"52","abstract",0.583272700429755,0.735702403124257,0.168393927873279,0.419068465173922
"53","truck",0.128333324606061,0.336345248048364,0.157499992454546,0.248994053517485
"54","truck",0.116999991727273,0.294041676002605,0.0670302993608819,0.421666677916667
"55","abstract",0.252318165834712,0.346422630883557,0.930636320305789,0.964604196600262
"56","abstract",0.230696953391186,0.748738116894347,0.278212099617082,0.695678590069198
"57","truck",0.095090901809918,0.818517881916296,0.212075739402206,0.700553591248885
"58","truck",0.102287870837466,0.699648829281623,0.1766515007135,0.404866081705916
"59","abstract",0.0484696944573005,0.459401797382255,0.46842421541598,0.597773825289435
"60","abstract",0.120227264388431,0.583863111214659,0.397196943027551,0.718107164997769
"61","truck",0.167333320151516,0.869476216913692,0.148939384460056,0.18690774495852
"62","truck",0.0723181780165293,0.578160730402903,0.250636343305787,0.77021133194178
"63","abstract",0.127727263388431,0.34479167623698,0.17818181516529,0.304940488299852
"64","abstract",0.0741666628484852,0.53415179855413,0.137242413614326,0.662818468908297
"65","truck",0.130806547468254,0.439947330002422,0.271652961111111,0.508248252688953
"66","truck",0.135801561775794,0.540730632267442,0.20540543894127,0.557709319767442
"67","abstract",0.294202827365079,0.879184483454457,0.271360400149206,0.633897817708333
"68","abstract",0.118020484198413,0.434259869534884,0.282071116511905,0.815285111676357
"69","truck",0.0578030137936508,0.224129585023014,0.0844157688809524,0.155656327229893
"70","truck",0.0811004114603175,0.647108375399709,0.267651383546032,0.949674044331395
"71","abstract",0.048621208988981,0.626485135824964,0.189454531958679,0.455976203319941
"72","abstract",0.331818165652894,0.81868752541797,0.183439378914602,0.91181550260454
"73","truck",0.206257559840222,0.509538704667598,0.085909086099174,0.272413696847285
"74","truck",0.102378782192838,0.237053576467634,0.0812272672975212,0.126520837407552
"75","abstract",0.372819587261905,0.762637425545058,0.346769805174603,0.461228778670058
"76","abstract",0.23144383334127,0.283448548267926,0.415242342698413,0.511004547965116
"77","truck",0.348568599166667,0.727178874878876,0.539186137488095,0.764061645893895
"78","truck",0.250916215436508,0.771456507630814,0.145706260174603,0.902415856710271
"79","abstract",0.110325429538095,0.618168639425872,0.592131593952381,0.59020408880814
"80","abstract",0.182926649380952,0.502214059471899,0.195886390801587,0.507164346366279
"81","truck",0.31681740115873,0.723434797601744,0.255415681644841,0.65237691497093
"82","truck",0.318765417574603,0.703081882364341,0.420819293103175,0.811555569888566
"83","abstract",0.463563027857143,0.67058938129845,0.414601342365079,0.607412086409884
"84","abstract",0.246516552168254,0.301866925893895,0.349375474956349,0.352668103088663
"85","truck",0.0643261415277778,0.0999053287645349,0.0551248132738095,0.0284558112524225
"86","truck",0.146682172033333,0.881469670070252,0.21857425231746,0.894292187742248
"87","abstract",0.0543711582793651,0.603718939559108,0.029399710031746,0.0343367574100654
"88","abstract",0.420143718563492,0.666291400581395,0.368675532777778,0.596097650557171
"89","truck",0.267039295527778,0.612113481710271,0.285056080928571,0.578331162361919
"90","truck",0.0574556990674603,0.786082445373062,0.095091273152381,0.745460373207364
