participant,random_close,random_far,uncertain_close,uncertain_far,certain_close,certain_far
0,0.47101144166666664,0.4377366071947674,0.6725572142857144,0.8509042060319768,0.3235802863333333,0.6650974364098837
1,0.4805410670396825,0.5984175990310078,0.46397950892063494,0.629771406613372,0.5282446622698412,0.6524560392805232
10,0.4656389166666667,0.6159739595445737,0.2864339393238095,0.7381819511870155,0.1948282243825397,0.7777245967781008
11,0.05944772978293651,0.10962720251889535,0.027350756645238096,0.0563909411446221,0.04375617127142857,0.25540799695978683
12,0.5240581955142857,0.7686557512112403,0.1385071249781746,0.7275009125484496,0.1114780863015873,0.8049625769137597
13,0.35864867493492064,0.7063160881782946,0.20163497001587302,0.5315870225290698,0.23721978903174604,0.5731966195494186
14,0.15079365079365079,0.5615503875968992,0.18015873015873016,0.6208406007751938,0.22870634920634922,0.625844234496124
15,0.2872619047619048,0.7005910852713179,0.34626190476190477,0.654640261627907,0.3561031746031746,0.6120663759689923
16,0.43777777777777777,0.6584459786821706,0.7353888888888889,0.6086603682170543,0.4322936507936508,0.4791085271317829
17,0.21846031746031747,0.5603209786821706,0.28574603174603175,0.6239534883720931,0.2604444444444444,0.6752374031007752
18,0.6000714285714286,0.6405450581395349,0.38185714285714284,0.4371329941860465,0.4629761904761905,0.5926501937984496
19,0.17476984126984127,0.7279505813953489,0.18957142857142859,0.5417272286821705,0.07776190476190475,0.5605390019379844
2,0.21017915197619047,0.3150659387475775,0.24934517692261904,0.5936213524709303,0.25076140030555555,0.6014292485465116
20,0.13092857142857142,0.5896572189922481,0.17516666666666666,0.6004505813953488,0.1644206349206349,0.5949018895348838
4,0.3145701574285714,0.5056881603924418,0.25008634105555555,0.6041695337936046,0.15437915286507936,0.5788940696099806
5,0.2960735578015873,0.5352380374152131,0.3861837432031746,0.6997335505087209,0.1851704203968254,0.621417523498062
6,0.25774860061904764,0.4786083113250969,0.30164599422380955,0.6280922234738372,0.41018944885714287,0.6615965191375969
7,0.13808877446825396,0.6261095601986434,0.18585611663015875,0.6953957483042635,0.26512171655555555,0.7045921891957364
8,0.08886349980793651,0.5185581214268411,0.12034259821269841,0.5926256353706395,0.0633700695,0.7266613626453489
9,0.17951221938095238,0.41394282685683137,0.09269815772460317,0.5319639338541666,0.03755406924206349,0.47321577991036823
