Spread,Delta, Estimate
1,420,5.000000e-01
1,860,5.000000e-01
1,640,5.000000e-01
1,200,5.000000e-01
1,860,5.000000e-01
1,420,5.000000e-01
1,200,9.000000e-01
1,640,5.000000e-01
10000,420,9.000000e-01
10000,860,2.000000e-01
10000,640,3.000000e-01
10000,200,1
10000,860,2.000000e-01
10000,420,8.000000e-01
10000,200,1
10000,640,6.000000e-01
