Spread,Delta,Y_or_N,Confidence,RT
1,420.000,1,1207,3.589624e+01
1,860.000,0,1440,4.683202e+00
1,640.000,0,1091,3.249830e+00
1,200.000,1,1440,3.483149e+00
1,860.000,0,1431,6.649723e+00
1,420.000,1,1143,3.449921e+00
1,200.000,1,1440,3.433180e+00
1,640.000,0,1091,1.104957e+01
10000,420.000,1,1436,4.349747e+00
10000,860.000,0,1440,2.383215e+00
10000,640.000,0,1440,2.666514e+00
10000,200.000,1,1440,2.516512e+00
10000,860.000,0,1440,3.066595e+00
10000,420.000,1,1440,3.266661e+00
10000,200.000,1,1440,4.033057e+00
10000,640.000,0,1440,3.616501e+00
