Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
1,1,1,1,700,11.805,182,203,1,6,1
1,1,1,2,5.333333e+02,3.678,-222,-209,-1,6,1
1,1,1,3,5.333333e+02,3.897,-115,-180,-1,3,0
1,1,1,4,200,2.281,-95,14,1,4,1
1,1,1,5,5.333333e+02,2.826,-262,256,1,2,0
1,1,1,6,3.666667e+02,2.365,-183,-262,1,6,1
1,1,1,7,700,3.749,-344,-178,1,5,0
1,1,1,8,5.333333e+02,2.599,-157,-414,1,2,0
1,1,1,9,200,3.482,98,107,1,7,1
1,1,1,10,5.333333e+02,4.632,-158,-221,-1,5,1
1,1,1,11,3.666667e+02,3.782,86,-76,1,6,1
1,1,1,12,200,2.283,41,-82,1,2,0
1,1,1,13,3.666667e+02,2.183,78,193,-1,2,0
1,1,1,14,700,4.116,181,-511,1,4,0
1,1,1,15,5.333333e+02,4.166,18,-184,1,4,0
1,1,1,16,3.666667e+02,3.616,-110,9,-1,3,0
1,1,1,17,700,2.740,165,-466,1,5,0
1,1,1,18,700,4.366,-258,-582,-1,2,1
1,1,1,19,200,2.316,68,49,1,2,1
1,1,1,20,200,2.616,-71,-114,1,4,1
1,1,1,21,700,4.232,-232,-307,1,2,0
1,1,1,22,700,2.633,93,-449,1,4,0
1,1,1,23,3.666667e+02,2.966,100,-23,1,4,1
1,1,1,24,3.666667e+02,2.766,-82,-13,1,1,0
1,1,1,25,200,2.383,-53,1,-1,5,1
1,1,1,26,200,2.483,-15,-10,-1,4,1
1,1,1,27,200,2.450,-74,15,1,2,1
1,1,1,28,5.333333e+02,2.683,-53,-246,1,3,0
1,1,1,29,200,2.316,38,4,1,5,1
1,1,1,30,200,2.866,17,9,1,4,1
1,1,1,31,5.333333e+02,2.816,-200,365,-1,7,0
1,1,1,32,5.333333e+02,2.899,132,-61,-1,2,0
1,1,1,33,3.666667e+02,2.716,107,-259,1,5,0
1,1,1,34,700,3.683,168,-603,-1,4,1
1,1,1,35,3.666667e+02,2.149,45,272,1,3,1
1,1,1,36,700,3.449,203,325,1,4,1
1,1,1,37,200,2.650,3,-103,-1,5,1
1,1,1,38,3.666667e+02,3.783,-35,72,-1,1,0
1,1,1,39,3.666667e+02,5.632,-23,8,1,5,1
1,1,1,40,5.333333e+02,3.316,-55,-206,-1,1,0
1,1,1,41,3.666667e+02,3.249,-171,-258,-1,3,1
1,1,1,42,700,4.932,180,51,-1,3,0
1,1,1,43,200,2.666,-47,0,1,6,1
1,1,1,44,700,2.649,-62,-515,1,6,0
1,1,1,45,200,3.183,29,16,1,5,1
1,1,1,46,700,4.649,-183,-487,-1,4,1
1,1,1,47,700,5.449,-261,384,-1,3,0
1,1,1,48,700,2.300,25,-17,-1,6,0
1,1,1,49,3.666667e+02,2.766,-84,-242,-1,7,1
1,1,1,50,5.333333e+02,2.683,203,243,-1,3,0
1,1,1,51,3.666667e+02,2.383,62,100,-1,7,1
1,1,1,52,700,4.133,248,192,1,5,1
1,1,1,53,5.333333e+02,2.516,-162,-90,-1,2,0
1,1,1,54,5.333333e+02,3.166,14,-345,1,3,0
1,1,1,55,3.666667e+02,2.683,-22,-8,1,4,1
1,1,1,56,5.333333e+02,4.349,259,-280,-1,7,1
1,1,1,57,200,2.350,-21,-9,-1,4,1
1,1,1,58,200,2.283,-15,0,-1,4,1
1,1,1,59,5.333333e+02,2.866,-30,141,1,5,1
1,1,1,60,3.666667e+02,3.333,-120,52,-1,3,0
1,10000,2,1,200,3.206,-69,-10,1,4,1
1,10000,2,2,3.666667e+02,4.415,52,-11,1,4,1
1,10000,2,3,3.666667e+02,2.966,-44,-16,-1,4,1
1,10000,2,4,200,3.633,37,-6,-1,4,1
1,10000,2,5,200,2.483,-97,-5,1,4,1
1,10000,2,6,700,5.932,-29,457,-1,4,0
1,10000,2,7,5.333333e+02,4.282,-41,253,1,4,1
1,10000,2,8,200,2.416,-74,-12,1,4,1
1,10000,2,9,200,2.849,-72,-9,1,4,1
1,10000,2,10,5.333333e+02,3.299,263,-404,-1,4,1
1,10000,2,11,3.666667e+02,3.899,119,4,-1,4,1
1,10000,2,12,700,2.899,-8,451,1,4,1
1,10000,2,13,5.333333e+02,3.216,236,242,1,4,1
1,10000,2,14,700,3.666,-328,-383,-1,4,1
1,10000,2,15,200,2.932,-65,-5,1,4,1
1,10000,2,16,3.666667e+02,3.649,-178,-14,-1,4,1
1,10000,2,17,3.666667e+02,2.283,102,-15,1,4,1
1,10000,2,18,200,3.216,28,-15,-1,4,1
1,10000,2,19,700,2.433,289,378,1,4,1
1,10000,2,20,700,4.266,-250,-519,-1,4,1
1,10000,2,21,5.333333e+02,3.982,-66,-383,1,4,0
1,10000,2,22,5.333333e+02,3.466,254,255,1,4,1
1,10000,2,23,3.666667e+02,2.416,-55,-21,-1,4,1
1,10000,2,24,3.666667e+02,5.399,183,-7,-1,4,1
1,10000,2,25,200,2.549,-44,-13,1,4,1
1,10000,2,26,200,2.050,-90,-1,1,4,1
1,10000,2,27,700,2.483,-338,464,1,4,1
1,10000,2,28,700,2.566,243,-537,1,4,0
1,10000,2,29,5.333333e+02,2.166,115,-326,1,4,0
1,10000,2,30,3.666667e+02,3.133,-9,-6,-1,4,1
1,10000,2,31,5.333333e+02,3.116,-152,315,1,4,1
1,10000,2,32,200,1.833,52,3,1,4,1
1,10000,2,33,5.333333e+02,2.916,-204,-347,1,4,0
1,10000,2,34,200,2.050,76,-8,1,4,1
1,10000,2,35,5.333333e+02,3.599,175,-323,1,4,0
1,10000,2,36,3.666667e+02,2.216,159,-7,-1,4,1
1,10000,2,37,200,2.000,-36,-17,-1,4,1
1,10000,2,38,5.333333e+02,2.983,-132,273,1,4,1
1,10000,2,39,5.333333e+02,2.299,-50,-426,-1,4,1
1,10000,2,40,5.333333e+02,2.133,-129,399,-1,4,0
1,10000,2,41,5.333333e+02,2.833,115,-420,-1,4,1
1,10000,2,42,200,2.150,-77,-12,1,4,1
1,10000,2,43,700,2.300,318,431,1,4,1
1,10000,2,44,3.666667e+02,2.299,33,-21,-1,4,1
1,10000,2,45,3.666667e+02,1.983,-44,-14,1,4,1
1,10000,2,46,200,2.216,-19,-17,1,4,1
1,10000,2,47,700,2.133,267,584,1,4,1
1,10000,2,48,3.666667e+02,2.250,-27,2,-1,4,1
1,10000,2,49,700,2.100,-331,-516,-1,4,1
1,10000,2,50,700,2.916,-204,-531,1,4,0
1,10000,2,51,5.333333e+02,3.433,-261,319,1,4,1
1,10000,2,52,700,2.383,-96,-535,-1,4,1
1,10000,2,53,700,2.150,-201,-551,-1,4,1
1,10000,2,54,3.666667e+02,2.983,-153,-3,1,4,1
1,10000,2,55,700,2.549,210,579,-1,4,0
1,10000,2,56,5.333333e+02,4.066,-154,-343,1,4,0
1,10000,2,57,3.666667e+02,2.600,102,-27,1,4,1
1,10000,2,58,700,3.283,-38,447,1,4,1
1,10000,2,59,3.666667e+02,2.133,117,-17,1,4,1
1,10000,2,60,200,2.799,-83,-23,-1,4,1
