Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
1,1,1,1,700,3.392,182,667,1,6,1
1,1,1,2,5.333333e+02,4.180,-222,-528,-1,6,1
1,1,1,3,5.333333e+02,2.249,-115,487,-1,3,0
1,1,1,4,200,2.316,-95,-194,1,4,1
1,1,1,5,5.333333e+02,5.466,-262,501,1,2,1
1,1,1,6,3.666667e+02,2.616,-183,-355,1,6,0
1,1,1,7,700,2.450,-344,-710,1,5,0
1,1,1,8,5.333333e+02,5.416,-157,489,1,2,1
1,1,1,9,200,4.349,98,-190,1,7,1
1,1,1,10,5.333333e+02,2.750,-158,-526,-1,5,1
1,1,1,11,3.666667e+02,2.100,86,353,1,6,1
1,1,1,12,200,2.000,41,182,1,2,1
1,1,1,13,3.666667e+02,2.116,78,-349,-1,2,1
1,1,1,14,700,2.683,181,680,1,4,1
1,1,1,15,5.333333e+02,2.133,18,-511,1,4,0
1,1,1,16,3.666667e+02,1.733,-110,344,-1,3,0
1,1,1,17,700,2.883,165,688,1,5,1
1,1,1,18,700,1.900,-258,-726,-1,2,1
1,1,1,19,200,2.000,68,165,1,2,1
1,1,1,20,200,2.250,-71,-183,1,4,1
1,1,1,21,700,2.150,-232,672,1,2,1
1,1,1,22,700,3.049,93,666,1,4,1
1,1,1,23,3.666667e+02,2.133,100,-337,1,4,0
1,1,1,24,3.666667e+02,2.300,-82,341,1,1,1
1,1,1,25,200,2.066,-53,176,-1,5,1
1,1,1,26,200,1.683,-15,193,-1,4,1
1,1,1,27,200,1.766,-74,181,1,2,1
1,1,1,28,5.333333e+02,2.150,-53,-529,1,3,0
1,1,1,29,200,1.816,38,162,1,5,1
1,1,1,30,200,1.616,17,181,1,4,1
1,1,1,31,5.333333e+02,2.216,-200,-512,-1,7,1
1,1,1,32,5.333333e+02,2.050,132,519,-1,2,0
1,1,1,33,3.666667e+02,2.300,107,359,1,5,1
1,1,1,34,700,1.850,168,-672,-1,4,1
1,1,1,35,3.666667e+02,1.950,45,347,1,3,1
1,1,1,36,700,2.333,203,-668,1,4,0
1,1,1,37,200,1.666,3,167,-1,5,1
1,1,1,38,3.666667e+02,1.666,-35,-340,-1,1,1
1,1,1,39,3.666667e+02,3.049,-23,352,1,5,1
1,1,1,40,5.333333e+02,3.416,-55,-505,-1,1,1
1,1,1,41,3.666667e+02,1.933,-171,356,-1,3,0
1,1,1,42,700,3.049,180,-683,-1,3,1
1,1,1,43,200,3.483,-47,182,1,6,1
1,1,1,44,700,2.016,-62,-671,1,6,0
1,1,1,45,200,5.199,29,-188,1,5,1
1,1,1,46,700,4.533,-183,-674,-1,4,1
1,1,1,47,700,2.433,-261,672,-1,3,0
1,1,1,48,700,2.100,25,686,-1,6,0
1,1,1,49,3.666667e+02,2.016,-84,336,-1,7,1
1,1,1,50,5.333333e+02,1.933,203,505,-1,3,0
1,1,1,51,3.666667e+02,2.516,62,359,-1,7,1
1,1,1,52,700,5.649,248,664,1,5,1
1,1,1,53,5.333333e+02,2.250,-162,511,-1,2,0
1,1,1,54,5.333333e+02,2.200,14,525,1,3,1
1,1,1,55,3.666667e+02,7.649,-22,368,1,4,1
