Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10000,1,1,700,31.909,-134,-495,-1,4,1
2,10000,1,2,3.666667e+02,6.781,51,254,-1,4,0
2,10000,1,3,5.333333e+02,5.432,60,-9,1,4,0
2,10000,1,4,3.666667e+02,5.282,-27,-2,-1,4,1
2,10000,1,5,200,7.728,-25,12,-1,4,1
2,10000,1,6,700,5.949,-265,-11,1,4,0
2,10000,1,7,200,4.233,13,5,-1,4,1
2,10000,1,8,200,3.450,17,0,1,4,1
2,10000,1,9,5.333333e+02,3.719,-244,-257,1,4,0
2,10000,1,10,5.333333e+02,5.183,1,368,1,4,1
2,10000,1,11,3.666667e+02,3.516,-167,279,-1,4,0
2,10000,1,12,700,2.783,-299,621,1,4,1
2,1,2,1,700,3.993,205,568,-1,5,0
2,1,2,2,3.666667e+02,3.716,-42,5,1,6,1
2,1,2,3,3.666667e+02,3.433,-20,-311,1,1,0
2,1,2,4,5.333333e+02,5.399,-79,215,1,7,1
2,1,2,5,200,3.649,73,-15,-1,5,1
2,1,2,6,200,4.566,-49,-1,-1,6,1
2,1,2,7,3.666667e+02,4.949,146,117,-1,4,0
2,1,2,8,700,6.532,173,508,1,2,1
2,1,2,9,200,3.649,-74,10,1,5,1
2,1,2,10,700,3.833,64,-587,-1,3,1
2,1,2,11,5.333333e+02,3.800,126,323,-1,1,0
2,1,2,12,5.333333e+02,3.416,193,424,1,3,1
