Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10000,1,1,200,4.057,-6,-4.101562e-01,-1,5,1
2,10000,1,2,640,7.650,-34,1.566406e+01,1,5,0
2,10000,1,3,420,6.233,-25,3.022266e+01,-1,5,1
2,10000,1,4,860,5.617,355,4.194609e+02,-1,5,0
2,10000,1,5,860,3.917,-333,6.183867e+02,-1,5,0
2,10000,1,6,420,4.150,-195,1.202188e+02,-1,5,1
2,10000,1,7,860,4.867,390,5.425547e+02,-1,5,0
2,10000,1,8,860,2.867,-90,-5.026914e+02,1,5,0
2,10000,1,9,640,2.583,-84,-3.738828e+02,1,5,0
2,10000,1,10,860,2.300,222,6.281758e+02,1,5,1
2,10000,1,11,200,2.833,-88,-1.675000e+01,1,5,1
2,10000,1,12,200,2.083,-55,-3.417969e+00,1,5,1
2,10000,1,13,860,2.333,-121,-6.001836e+02,1,5,0
2,10000,1,14,200,2.317,18,2.660156e+01,-1,5,1
2,10000,1,15,420,2.251,60,-2.504805e+02,-1,5,1
2,10000,1,16,640,2.200,-38,-4.326250e+02,1,5,0
2,10000,1,17,420,2.201,116,1.975156e+02,-1,5,0
2,10000,1,18,860,3.000,112,7.155469e+02,-1,5,0
2,10000,1,19,640,2.133,-29,-4.120312e+02,-1,5,1
2,10000,1,20,420,2.366,31,2.446445e+02,-1,5,0
2,10000,1,21,640,2.517,-256,-3.098008e+02,1,5,0
2,10000,1,22,640,1.983,287,4.585430e+02,1,5,1
2,10000,1,23,420,2.249,86,2.212773e+02,1,5,1
2,10000,1,24,200,2.350,-93,-1.402344e+01,1,5,1
2,10000,1,25,200,2.350,-4,-1.718750e-01,1,5,1
2,10000,1,26,860,2.450,54,6.832773e+02,-1,5,0
2,10000,1,27,420,2.667,102,2.393633e+02,1,5,1
2,10000,1,28,860,2.633,286,6.947031e+02,-1,5,0
2,10000,1,29,420,2.217,-12,-2.402305e+02,-1,5,1
2,10000,1,30,640,2.417,184,5.155117e+02,-1,5,0
2,10000,1,31,640,2.616,282,5.173594e+02,-1,5,0
2,10000,1,32,640,2.266,-230,-4.667422e+02,1,5,0
2,10000,1,33,860,2.083,169,7.492969e+02,-1,5,0
2,10000,1,34,200,2.017,-20,-4.772266e+01,-1,5,1
2,10000,1,35,640,3.217,-61,-3.916953e+02,1,5,0
2,10000,1,36,200,2.483,88,4.145312e+01,-1,5,1
2,10000,1,37,420,5.050,60,2.548047e+02,1,5,1
2,10000,1,38,640,3.900,-141,-4.649805e+02,1,5,0
2,10000,1,39,860,4.683,222,6.790430e+02,-1,5,0
2,10000,1,40,420,2.684,87,2.666953e+02,1,5,1
2,10000,1,41,640,2.284,-173,-4.862266e+02,1,5,0
2,10000,1,42,200,2.299,-78,1.612891e+01,-1,5,1
2,10000,1,43,420,2.150,-58,-2.418281e+02,1,5,0
2,10000,1,44,200,1.950,-3,-5.646484e+01,-1,5,1
2,10000,1,45,200,3.049,-59,2.382812e-01,-1,5,1
2,10000,1,46,420,2.217,-40,-2.256016e+02,-1,5,1
2,10000,1,47,860,2.267,-354,-6.736719e+02,1,5,0
2,10000,1,48,420,2.066,130,-3.168672e+02,1,5,0
2,10000,1,49,860,2.134,365,6.906055e+02,-1,5,0
2,10000,1,50,200,2.133,49,2.388672e+01,1,5,1
2,10000,1,51,420,2.033,-161,-2.588711e+02,-1,5,1
2,10000,1,52,640,1.967,-39,4.835781e+02,1,5,1
2,10000,1,53,200,1.950,8,6.093750e-01,1,5,1
2,10000,1,54,860,2.034,-187,-7.418047e+02,1,5,0
2,10000,1,55,640,5.217,292,-4.570156e+02,1,5,0
2,10000,1,56,860,1.950,-183,-7.678164e+02,-1,5,1
2,10000,1,57,200,2.384,23,1.550391e+01,-1,5,1
2,10000,1,58,420,1.917,62,-2.975352e+02,-1,5,1
2,10000,1,59,200,1.733,85,2.723047e+01,1,5,1
2,10000,1,60,640,1.800,-32,-4.895391e+02,1,5,0
2,1,2,1,420,3.326,-149,-1.113672e+02,1,3,0
2,1,2,2,860,2.118,333,5.546562e+02,-1,9,0
2,1,2,3,200,1.983,8,-6.269531e+00,-1,8,1
2,1,2,4,860,2.300,363,5.366406e+02,-1,3,0
2,1,2,5,860,2.267,192,-3.134062e+02,1,5,0
2,1,2,6,200,1.800,42,-7.042969e+00,1,3,1
2,1,2,7,640,2.517,-77,-3.884492e+02,-1,6,1
2,1,2,8,640,2.033,-91,-4.632539e+02,1,7,0
2,1,2,9,860,2.084,280,7.094180e+02,-1,8,0
2,1,2,10,420,1.551,166,-1.413594e+02,-1,4,1
2,1,2,11,200,2.183,-98,-3.770312e+01,1,3,1
2,1,2,12,420,1.783,127,-2.609219e+02,1,1,0
2,1,2,13,860,2.067,-353,-7.288984e+02,-1,3,1
2,1,2,14,200,2.250,98,3.254297e+01,-1,8,1
2,1,2,15,640,1.783,-163,-4.970156e+02,1,4,0
2,1,2,16,420,2.218,124,2.566406e+02,1,3,1
2,1,2,17,420,1.817,-199,-3.099297e+02,-1,3,1
2,1,2,18,640,2.167,-142,-5.431836e+02,1,6,0
2,1,2,19,200,2.367,-66,-4.176953e+01,1,2,1
2,1,2,20,420,1.516,-159,-2.781133e+02,1,2,0
2,1,2,21,420,2.833,-89,-2.861523e+02,1,7,1
2,1,2,22,860,4.866,-251,-7.792383e+02,-1,4,1
2,1,2,23,200,2.350,31,-1.648438e+01,-1,4,1
2,1,2,24,640,2.967,179,-5.576445e+02,-1,6,1
2,1,2,25,420,1.917,192,-3.117383e+02,-1,5,1
2,1,2,26,420,2.284,-117,-3.032812e+02,-1,6,1
2,1,2,27,640,2.349,194,5.801250e+02,-1,3,0
2,1,2,28,200,2.384,90,-4.490234e+01,-1,7,1
2,1,2,29,860,2.034,-324,-7.534492e+02,1,2,0
2,1,2,30,420,4.784,35,2.923047e+02,1,8,1
2,1,2,31,420,4.134,171,3.426875e+02,1,2,1
2,1,2,32,860,3.950,-52,7.480625e+02,1,8,1
2,1,2,33,860,4.483,419,7.234727e+02,-1,4,0
2,1,2,34,860,1.916,213,7.539531e+02,1,6,1
2,1,2,35,640,2.067,311,5.610859e+02,1,9,1
2,1,2,36,640,2.267,315,5.509414e+02,-1,1,0
2,1,2,37,640,3.234,192,5.698203e+02,1,5,1
2,1,2,38,420,2.067,142,3.523164e+02,1,8,1
2,1,2,39,200,2.418,-85,-8.053906e+01,-1,4,1
2,1,2,40,860,2.600,378,7.320547e+02,1,3,1
2,1,2,41,640,2.033,136,5.304297e+02,-1,9,0
2,1,2,42,200,3.567,16,6.458984e+01,-1,4,1
2,1,2,43,640,2.200,-216,5.461719e+02,-1,6,0
2,1,2,44,640,1.950,316,5.292812e+02,1,6,1
2,1,2,45,200,1.867,91,8.220703e+01,1,8,1
2,1,2,46,860,2.317,-313,-7.478359e+02,-1,2,1
2,1,2,47,640,2.367,-254,-5.557070e+02,1,9,0
2,1,2,48,420,2.050,183,2.560352e+02,-1,3,0
2,1,2,49,640,3.083,-110,-5.614883e+02,-1,2,1
2,1,2,50,200,1.718,66,8.462109e+01,-1,5,1
2,1,2,51,200,2.167,-5,9.937500e+00,1,8,1
2,1,2,52,860,2.750,-306,-7.633125e+02,1,8,0
2,1,2,53,200,2.184,-59,-3.988281e+00,1,4,1
2,1,2,54,860,2.200,290,7.245273e+02,1,8,1
2,1,2,55,640,1.967,-220,-5.152812e+02,-1,2,1
2,1,2,56,420,2.033,158,3.158828e+02,1,7,1
2,1,2,57,200,2.283,19,-2.809766e+01,-1,6,1
2,1,2,58,200,2.633,-64,-1.894141e+01,-1,9,1
2,1,2,59,420,2.050,-8,-3.083555e+02,1,4,0
2,1,2,60,860,2.233,21,6.865586e+02,-1,8,0
