Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
1,10000,1,1,860,43.095,-376,8.105391e+02,1,5,1
1,10000,1,2,860,4.466,299,7.903242e+02,-1,5,0
1,10000,1,3,200,11.700,1,-1.184766e+02,1,5,1
1,10000,1,4,640,12.067,103,-5.467695e+02,-1,5,1
1,10000,1,5,420,7.297,-128,-1.640234e+01,-1,5,1
1,10000,1,6,640,5.681,-29,1.257969e+02,1,5,1
1,10000,1,7,420,4.850,198,2.737500e+02,-1,5,0
1,10000,1,8,860,4.050,331,-7.937266e+02,-1,5,1
1,10000,1,9,200,2.633,54,6.950781e+01,-1,5,1
1,10000,1,10,640,12.384,174,4.453125e+02,1,5,1
1,10000,1,11,860,12.150,-27,-7.528047e+02,-1,5,1
1,10000,1,12,200,3.583,19,-5.185938e+01,-1,5,1
1,10000,1,13,200,3.000,-67,9.890234e+01,-1,5,1
1,10000,1,14,420,3.617,51,2.018867e+02,-1,5,0
1,10000,1,15,200,14.184,-2,-9.078125e+01,-1,5,1
1,10000,1,16,420,30.217,-162,-2.230469e+02,1,5,0
1,10000,1,17,860,23.833,-289,-3.307656e+02,1,5,0
1,10000,1,18,860,20.568,253,2.641016e+01,-1,5,0
1,10000,1,19,420,6.834,19,-1.172773e+02,1,5,1
1,10000,1,20,420,4.033,-179,7.678125e+01,1,5,1
1,10000,1,21,420,2.750,-182,-2.022930e+02,1,5,0
1,10000,1,22,420,3.284,121,9.706641e+01,1,5,1
1,10000,1,23,860,28.634,314,4.273984e+02,1,5,1
1,10000,1,24,420,4.733,-181,-1.305195e+02,-1,5,1
1,10000,1,25,860,3.467,-21,-3.878789e+02,-1,5,1
1,10000,1,26,640,3.067,90,4.155742e+02,-1,5,0
1,10000,1,27,200,4.934,87,-9.417969e+00,1,5,1
1,10000,1,28,200,3.117,-11,5.194922e+01,1,5,1
1,10000,1,29,420,2.883,13,2.677930e+02,1,5,1
1,10000,1,30,200,3.299,-13,1.037109e+02,-1,5,1
1,10000,1,31,420,3.267,-177,-3.036992e+02,-1,5,1
1,10000,1,32,640,3.333,-288,-3.320078e+02,1,5,0
1,10000,1,33,860,4.667,43,-4.826914e+02,-1,5,1
1,10000,1,34,640,2.817,216,3.443398e+02,-1,5,0
1,10000,1,35,640,4.950,96,3.019688e+02,1,5,1
1,10000,1,36,200,4.367,-90,-9.552734e+01,-1,5,1
1,10000,1,37,860,11.084,-27,-5.705117e+02,1,5,0
1,10000,1,38,200,3.317,91,3.839062e+01,1,5,1
1,10000,1,39,200,2.783,-67,-8.597656e+01,1,5,1
1,10000,1,40,640,8.434,127,5.577617e+02,-1,5,0
1,10000,1,41,640,5.633,155,5.981641e+02,1,5,1
1,10000,1,42,860,5.767,294,-7.849688e+02,-1,5,1
1,10000,1,43,640,4.684,187,5.562188e+02,1,5,1
1,10000,1,44,640,3.167,-219,-5.406211e+02,-1,5,1
1,10000,1,45,640,4.817,-177,-4.208242e+02,-1,5,1
1,10000,1,46,860,4.917,-228,-4.703594e+02,-1,5,1
1,10000,1,47,200,3.167,43,-5.382422e+01,-1,5,1
1,10000,1,48,420,3.700,-168,3.676133e+02,-1,5,0
1,10000,1,49,640,3.250,-195,-4.136016e+02,1,5,0
1,10000,1,50,640,4.133,-135,4.130781e+02,1,5,1
1,10000,1,51,200,3.283,-14,-5.865625e+01,-1,5,1
1,10000,1,52,200,2.567,56,8.889062e+01,-1,5,1
1,10000,1,53,420,2.867,-131,-2.169453e+02,-1,5,1
1,10000,1,54,200,5.284,40,9.536328e+01,-1,5,1
1,10000,1,55,420,3.050,62,-1.852500e+02,1,5,0
1,10000,1,56,860,3.917,-240,6.058086e+02,-1,5,0
1,10000,1,57,640,3.017,306,4.113633e+02,-1,5,0
1,10000,1,58,860,4.850,-293,-6.384609e+02,-1,5,1
1,10000,1,59,860,4.550,222,6.862227e+02,1,5,1
1,10000,1,60,420,3.400,25,2.798945e+02,1,5,1
1,1,2,1,200,7.974,46,-9.842578e+01,1,8,1
1,1,2,2,200,5.600,22,-2.800781e+01,1,7,1
1,1,2,3,640,3.867,-139,3.576641e+02,1,1,0
1,1,2,4,200,5.367,14,5.027344e+01,1,3,1
1,1,2,5,640,5.717,-32,-4.806641e+02,1,8,0
1,1,2,6,860,7.133,254,4.293398e+02,1,8,1
1,1,2,7,640,4.300,118,1.420586e+02,1,5,1
1,1,2,8,420,2.484,-175,-2.289102e+02,-1,3,1
1,1,2,9,200,3.800,-30,-9.019531e+00,-1,4,1
1,1,2,10,200,3.817,0,-3.700391e+01,-1,8,1
1,1,2,11,420,2.833,189,1.998867e+02,-1,9,1
1,1,2,12,860,7.100,-75,6.255078e+02,-1,9,0
1,1,2,13,640,3.033,206,3.378906e+02,1,6,1
1,1,2,14,860,3.500,-137,-4.622617e+02,1,1,0
1,1,2,15,860,5.617,14,-6.775781e+02,-1,3,1
1,1,2,16,200,2.750,5,-7.482422e+01,-1,3,1
1,1,2,17,640,3.817,-115,-2.788984e+02,-1,3,0
1,1,2,18,860,2.517,-216,-6.299883e+02,1,7,0
1,1,2,19,420,4.017,-19,-1.606797e+02,1,6,1
1,1,2,20,640,2.400,89,2.825078e+02,-1,9,1
1,1,2,21,200,2.467,-45,-1.913672e+01,1,4,1
1,1,2,22,420,2.500,-12,-1.277188e+02,1,6,1
1,1,2,23,420,3.183,82,5.025391e+01,-1,4,0
1,1,2,24,420,2.950,2,-1.852695e+02,-1,7,1
1,1,2,25,420,2.750,46,-8.839062e+01,1,6,1
1,1,2,26,420,3.667,130,1.310312e+02,-1,5,0
1,1,2,27,200,4.733,23,8.760547e+01,-1,4,1
1,1,2,28,640,3.717,169,-1.838828e+02,1,4,0
1,1,2,29,200,3.817,-27,6.319141e+01,1,8,1
1,1,2,30,860,6.600,-360,5.499414e+02,-1,5,0
1,1,2,31,420,4.649,-83,-2.021094e+02,-1,5,1
1,1,2,32,420,3.383,-31,-1.507188e+02,1,2,0
1,1,2,33,420,2.533,-166,-1.975898e+02,1,1,0
1,1,2,34,860,3.083,-252,-5.488281e+02,-1,1,0
1,1,2,35,860,4.250,-427,6.046602e+02,1,7,1
1,1,2,36,860,2.800,391,6.259766e+02,1,9,1
1,1,2,37,420,2.350,-105,-1.644570e+02,1,6,1
1,1,2,38,200,2.934,-23,-8.926562e+01,1,3,1
1,1,2,39,200,2.933,90,1.468203e+02,1,5,1
1,1,2,40,200,3.000,-26,-1.298828e+02,-1,8,1
1,1,2,41,640,3.950,151,3.957930e+02,1,2,1
1,1,2,42,200,2.917,78,1.636719e+00,1,8,1
1,1,2,43,420,2.850,79,1.476680e+02,1,4,1
1,1,2,44,640,2.950,-148,-4.342188e+02,1,6,0
1,1,2,45,860,3.833,-4,-5.411250e+02,1,2,0
1,1,2,46,200,3.533,-59,-7.538672e+01,1,6,1
1,1,2,47,860,2.517,328,6.715625e+02,1,8,1
1,1,2,48,420,4.332,-38,-2.682109e+02,-1,4,1
1,1,2,49,640,3.350,-130,-4.275234e+02,-1,1,0
1,1,2,50,640,3.450,-221,-4.125430e+02,-1,3,1
1,1,2,51,640,4.449,-241,-3.743398e+02,-1,5,1
1,1,2,52,420,2.917,-200,2.436641e+02,1,3,1
1,1,2,53,640,2.567,267,3.121055e+02,1,2,0
1,1,2,54,860,4.700,-321,6.650664e+02,1,4,1
1,1,2,55,640,3.367,-195,3.867266e+02,-1,4,0
1,1,2,56,860,2.517,354,-3.328516e+02,-1,5,1
1,1,2,57,860,3.617,113,-5.012695e+02,-1,2,0
1,1,2,58,860,4.850,101,5.345547e+02,1,4,1
1,1,2,59,640,2.983,0,-3.867148e+02,-1,6,1
1,1,2,60,200,2.200,34,8.892578e+01,1,1,1
