Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,860,5.315,410,-2.734219e+02,1,3,0
2,1,1,2,640,5.484,310,-1.747930e+02,-1,8,1
2,1,1,3,420,2.817,-75,-1.014766e+02,1,4,0
2,1,1,4,200,2.200,50,2.734375e-02,1,4,1
2,1,1,5,640,2.850,100,-1.834766e+02,-1,4,0
2,1,1,6,640,3.200,-245,3.005742e+02,-1,9,1
2,1,1,7,200,2.317,56,-1.531250e+00,1,7,1
2,1,1,8,860,2.984,-43,3.820352e+02,1,7,1
2,1,1,9,200,2.617,86,-1.835547e+01,1,7,1
2,1,1,10,420,3.733,-164,-1.060352e+02,-1,7,1
2,1,1,11,420,2.567,-76,-1.198008e+02,-1,8,1
2,1,1,12,860,3.450,-73,4.077344e+02,-1,3,0
2,1,1,13,860,2.667,-159,5.482227e+02,1,8,1
2,1,1,14,420,2.233,-151,-1.750156e+02,1,1,0
2,1,1,15,200,1.767,89,1.406250e-01,-1,3,1
2,1,1,16,200,2.083,27,5.332031e+00,-1,8,1
2,1,1,17,640,3.917,195,4.235078e+02,1,8,1
2,1,1,18,200,2.150,83,1.723047e+01,-1,8,1
2,1,1,19,420,2.550,70,-1.768047e+02,-1,3,1
2,1,1,20,200,1.984,-83,-5.320312e+00,-1,8,1
2,1,1,21,860,2.850,389,5.891211e+02,1,7,1
2,1,1,22,200,1.883,-60,-4.470312e+01,1,6,1
2,1,1,23,640,1.850,97,-3.979805e+02,-1,5,1
2,1,1,24,200,1.816,54,3.352344e+01,1,5,1
2,1,1,25,200,2.167,-21,-1.275781e+01,1,4,1
2,1,1,26,200,2.250,24,6.953125e-01,-1,5,1
2,1,1,27,640,1.883,59,-4.373008e+02,-1,4,1
2,1,1,28,640,1.933,-136,-4.192695e+02,1,6,0
2,1,1,29,640,1.834,118,-3.988750e+02,-1,6,1
2,1,1,30,420,1.584,192,2.231953e+02,-1,2,0
2,1,1,31,420,2.683,204,-2.242188e+01,1,3,0
