Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,1,1,1,700,9.054,182,-446,1,6,0
2,1,1,2,5.333333e+02,5.812,-222,-4,-1,6,1
2,1,1,3,5.333333e+02,5.348,-115,-140,-1,3,0
2,1,1,4,200,3.448,-95,4,1,4,1
2,1,1,5,5.333333e+02,4.344,-262,320,1,2,1
2,1,1,6,3.666667e+02,4.132,-183,-42,1,6,1
2,1,1,7,700,4.599,-344,608,1,5,1
2,1,1,8,5.333333e+02,2.416,-157,-212,1,2,0
2,1,1,9,200,3.849,98,13,1,7,1
2,1,1,10,5.333333e+02,2.066,-158,-415,-1,5,1
2,1,1,11,3.666667e+02,5.782,86,12,1,6,1
2,1,1,12,200,2.549,41,8,1,2,1
2,1,1,13,3.666667e+02,2.050,78,-8,-1,2,0
2,1,1,14,700,1.966,181,540,1,4,1
2,1,1,15,5.333333e+02,3.033,18,264,1,4,1
2,1,1,16,3.666667e+02,1.799,-110,-7,-1,3,0
2,1,1,17,700,2.083,165,-584,1,5,0
2,1,1,18,700,2.316,-258,-593,-1,2,1
2,1,1,19,200,2.283,68,8,1,2,1
2,1,1,20,200,6.899,-71,-9,1,4,1
2,1,1,21,700,5.082,-232,-625,1,2,0
2,1,1,22,700,2.966,93,-607,1,4,0
2,1,1,23,3.666667e+02,2.733,100,-194,1,4,0
2,1,1,24,3.666667e+02,2.533,-82,-161,1,1,0
2,1,1,25,200,1.616,-53,0,-1,5,1
2,1,1,26,200,1.733,-15,-5,-1,4,1
2,1,1,27,200,1.750,-74,9,1,2,1
2,1,1,28,5.333333e+02,2.550,-53,-381,1,3,0
2,1,1,29,200,1.550,38,12,1,5,1
2,1,1,30,200,1.566,17,2,1,4,1
2,1,1,31,5.333333e+02,2.566,-200,-337,-1,7,1
2,1,1,32,5.333333e+02,2.516,132,-375,-1,2,1
2,1,1,33,3.666667e+02,1.700,107,174,1,5,1
2,1,1,34,700,1.933,168,-596,-1,4,1
2,1,1,35,3.666667e+02,1.600,45,-263,1,3,0
2,1,1,36,700,1.933,203,539,1,4,1
2,1,1,37,200,1.600,3,-4,-1,5,1
2,1,1,38,3.666667e+02,2.100,-35,157,-1,1,0
2,1,1,39,3.666667e+02,1.850,-23,83,1,5,1
2,1,1,40,5.333333e+02,2.066,-55,-402,-1,1,1
2,1,1,41,3.666667e+02,1.750,-171,216,-1,3,0
2,1,1,42,700,1.683,180,559,-1,3,0
2,1,1,43,200,2.566,-47,-4,1,6,1
2,1,1,44,700,1.783,-62,590,1,6,1
2,1,1,45,200,2.183,29,-3,1,5,1
2,1,1,46,700,1.600,-183,609,-1,4,0
2,1,1,47,700,3.233,-261,625,-1,3,0
2,1,1,48,700,2.350,25,604,-1,6,0
2,1,1,49,3.666667e+02,3.266,-84,193,-1,7,1
2,1,1,50,5.333333e+02,1.950,203,391,-1,3,0
2,1,1,51,3.666667e+02,1.900,62,241,-1,7,1
2,1,1,52,700,1.750,248,552,1,5,1
2,1,1,53,5.333333e+02,1.966,-162,228,-1,2,0
2,1,1,54,5.333333e+02,2.200,14,-407,1,3,0
2,1,1,55,3.666667e+02,1.866,-22,201,1,4,1
2,1,1,56,5.333333e+02,1.666,259,372,-1,7,0
2,1,1,57,200,1.700,-21,-9,-1,4,1
2,1,1,58,200,1.783,-15,0,-1,4,1
2,1,1,59,5.333333e+02,1.833,-30,-346,1,5,0
2,1,1,60,3.666667e+02,1.833,-120,96,-1,3,0
2,10000,2,1,3.666667e+02,6.439,121,15,-1,4,1
2,10000,2,2,700,2.583,48,617,1,4,1
2,10000,2,3,700,2.216,124,593,-1,4,0
2,10000,2,4,5.333333e+02,2.249,96,-412,-1,4,1
2,10000,2,5,5.333333e+02,2.066,-72,421,-1,4,0
2,10000,2,6,3.666667e+02,2.849,73,-226,1,4,0
2,10000,2,7,200,1.816,-30,11,1,4,1
2,10000,2,8,5.333333e+02,1.750,213,419,1,4,1
2,10000,2,9,5.333333e+02,2.683,72,459,1,4,1
2,10000,2,10,700,1.916,273,-623,-1,4,1
2,10000,2,11,3.666667e+02,1.866,-147,-252,1,4,0
2,10000,2,12,200,2.633,-45,-7,-1,4,1
2,10000,2,13,3.666667e+02,2.383,160,5,-1,4,1
2,10000,2,14,5.333333e+02,1.983,216,374,-1,4,0
2,10000,2,15,3.666667e+02,3.233,-45,12,1,4,1
2,10000,2,16,3.666667e+02,3.649,-38,16,1,4,1
2,10000,2,17,3.666667e+02,3.616,-50,15,1,4,1
2,10000,2,18,200,1.766,61,3,-1,4,1
2,10000,2,19,200,1.550,44,2,1,4,1
2,10000,2,20,5.333333e+02,1.916,150,457,1,4,1
2,10000,2,21,700,1.549,47,-645,-1,4,1
2,10000,2,22,700,1.850,-51,697,1,4,1
2,10000,2,23,5.333333e+02,5.366,-19,638,-1,4,0
2,10000,2,24,5.333333e+02,3.149,248,-451,1,4,0
2,10000,2,25,3.666667e+02,2.766,37,13,1,4,1
2,10000,2,26,3.666667e+02,2.500,102,15,1,4,1
2,10000,2,27,200,2.166,-39,-5,-1,4,1
2,10000,2,28,700,2.050,-136,679,-1,4,0
2,10000,2,29,5.333333e+02,3.050,-178,-487,1,4,0
2,10000,2,30,200,2.216,-15,6,1,4,1
2,10000,2,31,5.333333e+02,2.999,29,461,1,4,1
2,10000,2,32,200,1.650,51,-11,1,4,1
2,10000,2,33,5.333333e+02,2.100,46,485,-1,4,0
2,10000,2,34,200,1.500,55,-11,-1,4,1
2,10000,2,35,700,2.083,-105,699,-1,4,0
2,10000,2,36,5.333333e+02,2.150,-115,-536,-1,4,1
2,10000,2,37,200,5.782,7,1,-1,4,1
2,10000,2,38,200,3.166,-14,-4,1,4,1
2,10000,2,39,700,1.633,-24,639,-1,4,0
2,10000,2,40,700,1.566,-238,611,1,4,1
2,10000,2,41,5.333333e+02,3.333,228,465,1,4,1
2,10000,2,42,700,2.400,155,-650,1,4,0
2,10000,2,43,700,1.550,-141,-621,1,4,0
2,10000,2,44,700,1.633,327,-611,-1,4,1
2,10000,2,45,200,3.199,63,9,-1,4,1
2,10000,2,46,3.666667e+02,1.950,118,-7,-1,4,1
