Spread,Delta,Y_or_N,Confidence
1,526.667,1,6.150039e+02
1,1180.000,0,1.274547e+03
1,853.333,0,1.036176e+03
1,200.000,1,7.263320e+02
1,1180.000,1,640
1,526.667,1,640
1,200.000,1,640
1,853.333,1,640
10,526.667,1,640
10,1180.000,1,640
10,853.333,1,640
10,200.000,1,640
10,1180.000,1,640
10,526.667,1,640
10,200.000,1,640
10,853.333,1,640
1000,526.667,1,640
1000,1180.000,1,640
1000,853.333,1,640
1000,200.000,1,640
1000,1180.000,1,640
1000,526.667,1,640
1000,200.000,1,640
1000,853.333,1,640
