2,10,1,1,600,3.6519,-159,-273,1,5,0
2,10,1,2,800,1.8667,-144,-466,1,4,0
2,10,1,3,700,1.8666,-102,-400,-1,5,1
2,10,1,4,400,1.983,-153,11,1,5,1
2,10,1,5,200,2.4831,-21,1,-1,5,1
2,10,1,6,500,2.1166,129,-184,1,4,0
2,10,1,7,300,3.1996,-121,17,1,5,1
2,10,2,1,200,1.8544,79,-6,1,5,1
2,10,2,2,800,1.8499,-307,-519,1,4,0
2,10,2,3,400,5.0332,63,-171,1,5,0
2,10,2,4,600,2.0167,133,-329,-1,4,1
2,10,2,5,700,12.25,212,-356,-1,4,1
2,10,2,6,300,2.5,56,-5,1,4,1
2,10,2,7,500,1.8166,-231,-252,-1,4,1
2,10,3,1,600,2.0972,240,-344,1,5,0
2,10,3,2,300,1.9832,41,2,-1,4,1
2,10,3,3,500,1.6499,-134,-210,-1,4,1
2,10,3,4,800,2.8834,-274,-463,1,4,0
2,10,3,5,200,1.7333,-22,-16,-1,5,1
2,10,3,6,400,1.8333,-82,-237,1,4,0
2,10,3,7,700,1.9834,-232,-391,-1,4,1
