3,10,1,1,400,2.1376,-112,-8,-1,6,1
3,10,1,2,700,3.1499,-166,-308,-1,6,1
3,10,1,3,800,3.7999,-224,-340,-1,6,1
3,10,1,4,300,1.9,90,15,1,6,1
3,10,1,5,600,2.3332,-134,-33,1,6,0
3,10,1,6,200,1.6999,37,-4,1,6,1
3,10,1,7,500,1.7333,18,-17,-1,7,1
3,10,2,1,700,1.8093,309,-299,1,6,0
3,10,2,2,500,1.8833,-51,-8,1,6,1
3,10,2,3,200,1.5665,12,0,-1,6,1
3,10,2,4,600,2.0166,117,-26,-1,6,1
3,10,2,5,400,2.5165,-91,-5,1,6,1
3,10,2,6,300,1.6833,-66,-9,-1,6,1
3,10,2,7,800,2.9498,-219,352,1,6,1
3,10,3,1,200,1.8818,-32,0,-1,6,1
3,10,3,2,300,2,129,-38,1,6,1
3,10,3,3,800,1.8166,-28,-380,1,6,0
3,10,3,4,400,10.25,164,4,1,6,1
3,10,3,5,500,34.449,126,13,1,5,1
3,10,3,6,700,1.7332,-338,-375,1,6,0
3,10,3,7,600,1.8333,47,-208,1,6,0
