2,1,1,1,800,2.1326,-182,-546,-1,5,1
2,1,1,2,500,2.4665,-12,234,1,6,1
2,1,1,3,200,2.7166,91,13,1,7,1
2,1,1,4,600,1.7666,3,-381,-1,6,1
2,1,1,5,400,2.4833,156,-8,-1,4,1
2,1,1,6,300,2.0834,51,2,1,6,1
2,1,1,7,700,2.4832,-312,-480,1,3,0
2,1,2,1,300,2.3212,49,9,1,7,1
2,1,2,2,400,1.5667,194,-5,1,7,1
2,1,2,3,500,2.3167,197,-266,-1,4,1
2,1,2,4,800,2.8832,-221,-550,-1,6,1
2,1,2,5,200,2.1333,-29,14,-1,4,1
2,1,2,6,600,1.7166,-235,-434,-1,3,1
2,1,2,7,700,2.1999,151,507,1,5,1
2,1,3,1,200,1.8854,-45,-11,1,3,1
2,1,3,2,400,2.4001,-26,-218,-1,3,1
2,1,3,3,500,2.4832,27,-282,1,3,0
2,1,3,4,700,4.7497,-69,-423,-1,5,1
2,1,3,5,800,6.7497,222,-471,-1,3,0
2,1,3,6,600,1.9165,94,-314,-1,2,0
2,1,3,7,300,2.5998,-11,4,1,6,1
