Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,5.755,700,1,-12
1,1,2,10.812,5.333333e+02,1,278
1,1,3,6.015,5.333333e+02,1,-17
1,1,4,2.665,200,1,4
1,1,5,3.496,5.333333e+02,1,-2
1,1,6,1.333,3.666667e+02,1,-241
1,1,7,4.533,700,1,-341
1,1,8,2.133,5.333333e+02,1,-52
1,1,9,1.500,200,1,8
1,1,10,3.816,5.333333e+02,1,27
1,1,11,2.466,3.666667e+02,1,-15
1,1,12,1.533,200,1,-6
1,1,13,1.517,3.666667e+02,1,1
1,1,14,3.316,700,1,-376
1,1,15,1.183,5.333333e+02,1,42
1,1,16,0.950,3.666667e+02,1,2
1,1,17,2.283,700,1,243
1,1,18,5.483,700,1,-46
1,1,19,1.200,200,1,2
1,1,20,1.133,200,1,-2
1,1,21,2.250,700,1,-281
1,1,22,1.583,700,1,-359
1,1,22,2.917,700,2,478
1,1,23,3.233,3.666667e+02,1,-51
1,1,24,1.433,3.666667e+02,1,-44
1,1,25,1.067,200,1,1
1,1,26,1.217,200,1,-36
1,1,27,1.750,200,1,-28
1,1,28,1.917,5.333333e+02,1,213
1,1,29,1.267,200,1,26
1,1,30,1.317,200,1,13
1,1,31,2.350,5.333333e+02,1,167
1,1,32,1.500,5.333333e+02,1,156
1,1,33,3.066,3.666667e+02,1,34
1,1,34,2.000,700,1,207
1,1,35,1.883,3.666667e+02,1,26
1,1,36,1.684,700,1,239
1,1,37,1.133,200,1,37
1,1,38,0.767,3.666667e+02,1,-11
1,1,39,1.517,3.666667e+02,1,7
1,1,40,1.117,5.333333e+02,1,10
1,1,41,4.050,3.666667e+02,1,65
1,1,42,1.483,700,1,213
1,1,43,0.867,200,1,4
1,1,44,1.450,700,1,181
1,1,45,0.950,200,1,-6
1,1,46,1.817,700,1,353
1,1,47,1.067,700,1,17
1,1,48,1.034,700,1,-305
1,1,49,2.283,3.666667e+02,1,36
1,1,50,2.184,5.333333e+02,1,-46
1,1,51,1.234,3.666667e+02,1,15
1,1,52,3.683,700,1,-288
1,1,53,2.800,5.333333e+02,1,7
1,1,54,2.050,5.333333e+02,1,-223
1,1,55,0.983,3.666667e+02,1,-20
1,1,56,2.650,5.333333e+02,1,178
1,1,57,1.050,200,1,22
1,1,58,1.200,200,1,-3
1,1,59,2.134,5.333333e+02,1,-213
1,1,60,0.900,3.666667e+02,1,-14
10000,2,1,3.661,200,1,-18
10000,2,2,1.850,3.666667e+02,1,123
10000,2,3,1.233,3.666667e+02,1,117
10000,2,4,1.067,200,1,-2
10000,2,5,1.166,200,1,8
10000,2,6,1.933,700,1,-301
10000,2,7,1.933,5.333333e+02,1,313
10000,2,8,1.150,200,1,-4
10000,2,9,0.850,200,1,-3
10000,2,10,1.416,5.333333e+02,1,-233
10000,2,11,1.383,3.666667e+02,1,120
10000,2,12,1.983,700,1,427
10000,2,13,1.583,5.333333e+02,1,257
10000,2,14,1.250,700,1,-434
10000,2,15,0.783,200,1,25
10000,2,16,0.967,3.666667e+02,1,150
10000,2,17,2.216,3.666667e+02,1,178
10000,2,18,0.933,200,1,23
10000,2,19,1.067,700,1,-479
10000,2,20,0.917,700,1,-484
10000,2,21,1.183,5.333333e+02,1,149
10000,2,22,1.467,5.333333e+02,1,333
10000,2,23,0.917,3.666667e+02,1,-165
10000,2,24,1.017,3.666667e+02,1,-38
10000,2,25,0.717,200,1,7
10000,2,26,0.650,200,1,16
10000,2,27,1.767,700,1,-420
10000,2,28,1.450,700,1,-358
10000,2,29,1.083,5.333333e+02,1,-101
10000,2,30,1.333,3.666667e+02,1,136
10000,2,31,0.934,5.333333e+02,1,-299
10000,2,32,1.550,200,1,21
10000,2,33,1.033,5.333333e+02,1,268
10000,2,34,1.100,200,1,15
10000,2,35,0.933,5.333333e+02,1,-223
10000,2,36,1.117,3.666667e+02,1,-103
10000,2,37,0.850,200,1,-17
10000,2,38,1.017,5.333333e+02,1,-377
10000,2,39,1.067,5.333333e+02,1,192
10000,2,40,0.917,5.333333e+02,1,298
10000,2,41,1.000,5.333333e+02,1,-284
10000,2,42,0.867,200,1,6
10000,2,43,0.867,700,1,475
10000,2,44,1.283,3.666667e+02,1,-69
10000,2,45,0.783,3.666667e+02,1,-109
10000,2,46,1.117,200,1,-2
10000,2,47,1.150,700,1,328
10000,2,48,1.250,3.666667e+02,1,-144
10000,2,49,0.933,700,1,452
10000,2,50,1.717,700,1,399
10000,2,51,1.084,5.333333e+02,1,85
10000,2,52,1.234,700,1,67
10000,2,53,0.733,700,1,-425
10000,2,54,0.934,3.666667e+02,1,144
10000,2,55,1.000,700,1,-484
10000,2,56,1.200,5.333333e+02,1,221
10000,2,57,1.033,3.666667e+02,1,106
10000,2,58,1.250,700,1,-399
10000,2,59,0.967,3.666667e+02,1,-224
10000,2,60,0.984,200,1,-20
