Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x

10000,1,1,28.976,700,1,-495

10000,1,2,3.098,3.666667e+02,1,254

10000,1,3,4.032,5.333333e+02,1,-9

10000,1,4,3.815,3.666667e+02,1,-2

10000,1,5,3.862,200,1,12
10000,1,6,3.333,700,1,-11

10000,1,7,2.750,200,1,5
10000,1,8,2.217,200,1,0

10000,1,9,2.433,5.333333e+02,1,-257

10000,1,10,3.950,5.333333e+02,1,368

10000,1,11,2.083,3.666667e+02,1,279

10000,1,12,1.600,700,1,621

1,2,1,2.427,700,1,568

1,2,2,2.350,3.666667e+02,1,5

1,2,3,2.166,3.666667e+02,1,-311

1,2,4,4.150,5.333333e+02,1,215

1,2,5,2.433,200,1,-15

1,2,6,3.333,200,1,-1

1,2,7,2.616,3.666667e+02,1,296

1,2,7,3.750,3.666667e+02,2,117

1,2,8,5.016,700,1,508

1,2,9,2.083,200,1,10

1,2,10,2.333,700,1,-587

1,2,11,2.700,5.333333e+02,1,323

1,2,12,2.300,5.333333e+02,1,424
