Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
10000,1,1,4.144,5.333333e+02,1,-84
10000,1,2,3.948,200,1,9
10000,1,3,3.166,3.666667e+02,1,41
10000,1,4,3.882,3.666667e+02,1,21
10000,1,5,4.830,700,1,1
10000,1,6,3.516,3.666667e+02,1,6
10000,1,7,4.433,3.666667e+02,1,17
10000,1,8,2.766,700,1,-367
10000,1,9,2.516,3.666667e+02,1,11
10000,1,10,2.250,200,1,11
10000,1,11,1.983,700,1,-202
10000,1,12,2.000,200,1,5
10000,1,13,1.683,5.333333e+02,1,-200
10000,1,14,2.450,3.666667e+02,1,14
10000,1,15,2.016,200,1,9
10000,1,16,2.333,5.333333e+02,1,-115
10000,1,17,3.166,5.333333e+02,1,-183
10000,1,18,2.000,700,1,-314
10000,1,19,1.917,700,1,-78
10000,1,20,1.833,5.333333e+02,1,165
10000,1,21,2.217,5.333333e+02,1,-74
10000,1,22,1.850,200,1,-8
10000,1,23,2.433,200,1,29
10000,1,24,5.432,700,1,-770
10000,1,25,3.050,700,1,-767
10000,1,26,3.516,700,1,-760
10000,1,27,1.800,3.666667e+02,1,-93
10000,1,28,2.667,700,1,-766
10000,1,29,2.133,700,1,-766
10000,1,30,1.933,3.666667e+02,1,-17
10000,1,31,1.650,200,1,-20
10000,1,32,1.850,5.333333e+02,1,-346
10000,1,33,2.467,200,1,-8
10000,1,34,2.200,5.333333e+02,1,-196
10000,1,35,1.733,700,1,351
10000,1,36,2.684,200,1,52
10000,1,37,2.167,200,1,-21
10000,1,38,2.416,3.666667e+02,1,4
10000,1,39,1.767,200,1,11
10000,1,40,2.150,5.333333e+02,1,-151
10000,1,41,3.100,700,1,318
10000,1,42,1.600,5.333333e+02,1,286
10000,1,43,2.050,700,1,435
10000,1,44,3.483,5.333333e+02,1,355
10000,1,45,2.283,5.333333e+02,1,-272
10000,1,46,2.750,5.333333e+02,1,257
10000,1,47,2.050,5.333333e+02,1,-363
10000,1,48,2.833,200,1,4
10000,1,49,2.850,3.666667e+02,1,20
10000,1,50,2.067,200,1,3
10000,1,51,2.516,5.333333e+02,1,240
10000,1,52,1.800,3.666667e+02,1,183
10000,1,53,2.067,3.666667e+02,1,4
10000,1,54,1.633,200,1,-2
10000,1,55,1.450,3.666667e+02,1,-4
10000,1,56,2.049,700,1,454
10000,1,57,2.950,3.666667e+02,1,4
10000,1,58,2.233,700,1,554
10000,1,59,2.083,3.666667e+02,1,23
10000,1,60,1.400,200,1,-1
1,2,1,5.178,700,1,482
1,2,1,5.311,700,2,482
1,2,1,6.744,700,3,497
1,2,2,4.882,3.666667e+02,1,77
1,2,3,2.783,3.666667e+02,1,-149
1,2,3,5.466,3.666667e+02,2,25
1,2,4,2.700,200,1,9
1,2,5,2.900,700,1,622
1,2,6,2.716,200,1,-8
1,2,7,2.033,200,1,-12
1,2,8,5.249,3.666667e+02,1,9
1,2,9,2.583,700,1,626
1,2,10,4.416,700,1,610
1,2,11,2.166,5.333333e+02,1,16
1,2,12,2.466,200,1,6
1,2,13,1.767,700,1,-489
1,2,14,2.366,700,1,-634
1,2,15,2.134,700,1,-606
1,2,16,2.783,5.333333e+02,1,450
1,2,17,2.217,5.333333e+02,1,448
1,2,18,2.116,200,1,-10
1,2,19,2.150,3.666667e+02,1,-201
1,2,20,1.483,3.666667e+02,1,36
1,2,21,1.266,200,1,4
1,2,22,2.116,200,1,6
1,2,23,2.383,700,1,616
1,2,24,2.750,700,1,529
1,2,25,2.633,5.333333e+02,1,434
1,2,26,2.100,200,1,2
1,2,27,2.116,5.333333e+02,1,-412
1,2,28,1.867,200,1,-7
1,2,29,1.650,5.333333e+02,1,398
1,2,30,1.900,200,1,14
1,2,31,1.850,5.333333e+02,1,436
1,2,32,1.883,5.333333e+02,1,447
1,2,33,2.233,3.666667e+02,1,19
1,2,34,1.767,200,1,-1
1,2,35,1.600,3.666667e+02,1,16
1,2,36,2.217,5.333333e+02,1,-171
1,2,37,1.483,5.333333e+02,1,-244
1,2,38,1.933,700,1,-599
1,2,39,1.717,3.666667e+02,1,303
1,2,40,1.850,3.666667e+02,1,-278
1,2,41,1.867,200,1,2
1,2,42,1.700,200,1,7
1,2,43,1.983,3.666667e+02,1,-24
1,2,44,1.650,3.666667e+02,1,-106
1,2,45,1.567,3.666667e+02,1,-160
1,2,46,1.683,5.333333e+02,1,66
1,2,47,1.567,700,1,-443
1,2,48,1.517,3.666667e+02,1,-28
1,2,49,1.550,700,1,-482
1,2,50,1.167,5.333333e+02,1,167
1,2,51,1.500,200,1,22
1,2,52,2.033,700,1,561
1,2,53,2.000,3.666667e+02,1,0
1,2,54,3.250,700,1,-463
1,2,55,1.900,5.333333e+02,1,80
1,2,56,1.967,700,1,589
1,2,57,1.917,5.333333e+02,1,-328
1,2,58,1.533,5.333333e+02,1,134
1,2,59,1.400,3.666667e+02,1,4
1,2,60,1.983,200,1,12
