Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,4.407,700,1,123
1,1,2,4.912,5.333333e+02,1,237
1,1,3,2.848,5.333333e+02,1,2
1,1,4,1.498,200,1,9
1,1,5,1.594,5.333333e+02,1,33
1,1,5,2.510,5.333333e+02,2,10
1,1,6,2.183,3.666667e+02,1,19
1,1,7,5.849,700,1,-390
1,1,8,3.183,5.333333e+02,1,13
1,1,9,1.799,200,1,4
1,1,10,1.583,5.333333e+02,1,-22
1,1,11,1.583,3.666667e+02,1,18
1,1,12,3.866,200,1,1
1,1,13,1.150,3.666667e+02,1,17
1,1,14,2.233,700,1,-536
1,1,15,2.433,5.333333e+02,1,277
1,1,16,2.183,3.666667e+02,1,6
1,1,17,1.900,700,1,-382
1,1,18,1.667,700,1,502
1,1,19,1.583,200,1,-3
1,1,20,0.900,200,1,21
1,1,21,0.833,700,1,-31
1,1,22,0.900,700,1,33
1,1,23,1.067,3.666667e+02,1,40
1,1,24,0.950,3.666667e+02,1,-184
1,1,25,1.267,200,1,11
1,1,26,1.000,200,1,19
1,1,27,1.200,200,1,12
1,1,28,1.017,5.333333e+02,1,-355
1,1,29,1.384,200,1,-4
1,1,30,1.050,200,1,14
1,1,31,0.917,5.333333e+02,1,-5
1,1,32,2.200,5.333333e+02,1,472
1,1,33,1.183,3.666667e+02,1,154
1,1,34,2.017,700,1,-603
1,1,35,1.183,3.666667e+02,1,-239
1,1,36,1.367,700,1,626
1,1,37,1.633,200,1,5
1,1,38,1.367,3.666667e+02,1,15
1,1,39,0.984,3.666667e+02,1,37
1,1,40,1.067,5.333333e+02,1,-335
1,1,41,1.050,3.666667e+02,1,-302
1,1,42,1.550,700,1,687
1,1,42,2.283,700,2,649
1,1,42,2.833,700,3,611
1,1,42,3.299,700,4,625
1,1,43,1.267,200,1,28
1,1,44,1.317,700,1,-544
1,1,45,0.817,200,1,86
1,1,46,1.650,700,1,565
1,1,47,1.250,700,1,-584
1,1,48,1.717,700,1,-611
1,1,49,1.500,3.666667e+02,1,14
1,1,50,1.067,5.333333e+02,1,251
1,1,51,1.867,3.666667e+02,1,-62
1,1,52,2.783,700,1,-484
1,1,53,0.917,5.333333e+02,1,-304
1,1,54,0.850,5.333333e+02,1,440
1,1,55,1.317,3.666667e+02,1,325
1,1,56,1.467,5.333333e+02,1,383
1,1,57,0.733,200,1,31
1,1,58,1.134,200,1,46
1,1,58,1.833,200,2,12
1,1,59,1.117,5.333333e+02,1,-240
10000,2,1,3.183,3.666667e+02,1,84
10000,2,1,4.516,3.666667e+02,2,40
10000,2,1,5.316,3.666667e+02,3,28
10000,2,1,7.266,3.666667e+02,4,204
10000,2,2,2.550,700,1,-548
10000,2,3,1.533,700,1,530
10000,2,4,1.866,5.333333e+02,1,433
10000,2,5,2.900,5.333333e+02,1,-377
10000,2,6,1.750,3.666667e+02,1,26
10000,2,7,1.233,200,1,3
10000,2,8,1.150,5.333333e+02,1,206
10000,2,9,0.933,5.333333e+02,1,329
10000,2,10,1.117,700,1,-616
10000,2,11,2.683,3.666667e+02,1,106
10000,2,12,1.050,200,1,20
10000,2,13,2.650,3.666667e+02,1,14
10000,2,13,3.433,3.666667e+02,2,18
10000,2,14,2.750,5.333333e+02,1,248
10000,2,15,3.300,3.666667e+02,1,26
10000,2,15,3.833,3.666667e+02,2,108
10000,2,16,1.183,3.666667e+02,1,120
10000,2,17,2.183,3.666667e+02,1,-55
10000,2,18,1.083,200,1,-8
10000,2,19,0.800,200,1,38
10000,2,20,1.217,5.333333e+02,1,-274
10000,2,21,1.100,700,1,-543
10000,2,22,1.233,700,1,-511
10000,2,23,0.950,5.333333e+02,1,307
10000,2,24,0.850,5.333333e+02,1,440
10000,2,25,0.983,3.666667e+02,1,-263
10000,2,25,2.433,3.666667e+02,2,24
10000,2,26,1.167,3.666667e+02,1,19
10000,2,26,2.033,3.666667e+02,2,10
10000,2,27,0.983,200,1,-6
10000,2,28,1.617,700,1,-597
10000,2,29,2.250,5.333333e+02,1,-396
10000,2,30,0.800,200,1,-3
10000,2,31,1.067,5.333333e+02,1,430
10000,2,32,1.033,200,1,-25
10000,2,33,2.150,5.333333e+02,1,12
10000,2,33,3.433,5.333333e+02,2,-295
10000,2,34,0.917,200,1,3
10000,2,35,1.150,700,1,504
10000,2,36,1.484,5.333333e+02,1,-187
10000,2,36,2.250,5.333333e+02,2,373
10000,2,37,0.767,200,1,9
10000,2,38,1.067,200,1,-3
10000,2,39,1.317,700,1,-420
10000,2,40,2.033,700,1,-702
10000,2,40,2.617,700,2,-600
10000,2,41,0.867,5.333333e+02,1,408
10000,2,42,1.267,700,1,623
10000,2,43,0.983,700,1,-633
10000,2,44,1.317,700,1,-371
10000,2,44,2.333,700,2,-526
10000,2,45,1.083,200,1,20
10000,2,46,1.467,3.666667e+02,1,18
10000,2,47,1.350,700,1,592
10000,2,48,4.000,3.666667e+02,1,10
10000,2,49,1.050,200,1,19
10000,2,50,1.367,5.333333e+02,1,271
10000,2,51,1.083,3.666667e+02,1,7
10000,2,52,0.883,3.666667e+02,1,-11
10000,2,53,1.500,700,1,-623
10000,2,54,1.467,3.666667e+02,1,-12
10000,2,54,2.167,3.666667e+02,2,13
10000,2,54,2.917,3.666667e+02,3,6
10000,2,55,0.917,200,1,-9
10000,2,56,1.017,3.666667e+02,1,9
10000,2,57,0.900,200,1,22
10000,2,58,0.850,200,1,-39
10000,2,59,1.134,700,1,-542
10000,2,60,1.783,5.333333e+02,1,-420
