Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x
1,1,1,3.950,860,1,-2.734219e+02
1,1,2,4.385,640,1,-1.747930e+02
1,1,3,1.967,420,1,-1.014766e+02
1,1,4,1.435,200,1,2.734375e-02
1,1,5,2.084,640,1,-1.834766e+02
1,1,6,2.535,640,1,3.005742e+02
1,1,7,1.634,200,1,-1.531250e+00
1,1,8,2.251,860,1,3.820352e+02
1,1,9,1.801,200,1,-1.835547e+01
1,1,10,3.018,420,1,-1.060352e+02
1,1,11,1.851,420,1,-1.198008e+02
1,1,12,2.700,860,1,4.077344e+02
1,1,13,1.967,860,1,5.482227e+02
1,1,14,1.451,420,1,-1.750156e+02
1,1,15,1.118,200,1,1.406250e-01
1,1,16,1.384,200,1,5.332031e+00
1,1,17,3.201,640,1,4.235078e+02
1,1,18,1.517,200,1,1.723047e+01
1,1,19,1.818,420,1,-1.768047e+02
1,1,20,1.385,200,1,-5.320312e+00
1,1,21,2.168,860,1,5.891211e+02
1,1,22,1.218,200,1,-4.470312e+01
1,1,23,1.218,640,1,-3.979805e+02
1,1,24,1.135,200,1,3.352344e+01
1,1,25,1.534,200,1,-1.275781e+01
1,1,26,1.551,200,1,6.953125e-01
1,1,27,1.235,640,1,-4.373008e+02
1,1,28,1.101,640,1,-4.192695e+02
1,1,29,1.134,640,1,-3.988750e+02
1,1,30,0.918,420,1,2.231953e+02
1,1,31,2.051,420,1,-2.242188e+01
1,1,32,1.851,860,1,-6.345820e+02
1,1,33,1.285,640,1,-386
1,1,34,1.384,200,1,2.417969e+00
1,1,35,2.634,860,1,-5.701758e+02
1,1,36,4.217,420,1,-1.226523e+02
1,1,37,1.750,860,1,-6.261445e+02
1,1,38,1.369,860,1,-6.546445e+02
1,1,39,2.168,640,1,-4.636406e+02
1,1,40,1.985,420,1,-2.413281e+02
1,1,41,1.484,640,1,-4.794609e+02
1,1,42,1.950,420,1,-3.672969e+02
1,1,43,1.201,420,1,2.574297e+02
1,1,44,2.185,860,1,7.376523e+02
1,1,45,4.701,420,1,-1.906133e+02
1,1,46,3.501,860,1,-6.946133e+02
1,1,47,2.984,860,1,-6.755000e+02
1,1,48,1.218,860,1,6.813320e+02
1,1,49,1.134,420,1,-2.376016e+02
1,1,50,1.751,860,1,6.791875e+02
1,1,51,1.368,640,1,5.011641e+02
1,1,52,1.618,640,1,5.238320e+02
1,1,53,1.534,200,1,-1.214062e+01
1,1,54,1.468,420,1,-2.932070e+02
1,1,55,1.834,640,1,-4.325000e+02
1,1,56,1.000,640,1,5.273984e+02
1,1,57,1.351,860,1,5.475742e+02
1,1,58,1.951,420,1,-2.459805e+02
1,1,59,1.501,200,1,-4.058594e+00
1,1,60,1.534,200,1,-2.421875e+00
10000,2,1,3.515,640,1,-1.803125e+02
10000,2,2,2.018,640,1,4.404570e+02
10000,2,3,1.301,420,1,-2.137109e+02
10000,2,4,0.900,420,1,-2.891602e+02
10000,2,5,1.902,200,1,6.398438e+00
10000,2,6,1.168,420,1,2.328047e+02
10000,2,7,1.768,860,1,-6.873008e+02
10000,2,8,1.368,420,1,2.961797e+02
10000,2,9,1.184,420,1,-1.861719e+01
10000,2,10,1.201,640,1,-4.907266e+02
10000,2,11,1.401,860,1,-5.915078e+02
10000,2,12,0.984,640,1,5.302188e+02
10000,2,13,0.868,640,1,-4.478320e+02
10000,2,14,0.985,860,1,6.729492e+02
10000,2,15,1.252,200,1,-3.427734e+01
10000,2,16,1.035,200,1,-1.133203e+01
10000,2,17,1.051,640,1,-4.993438e+02
10000,2,18,1.051,420,1,2.132305e+02
10000,2,19,0.951,200,1,-4.150781e+01
10000,2,20,0.868,200,1,-2.753906e+00
10000,2,21,1.018,200,1,-4.605859e+01
10000,2,22,1.034,420,1,-2.738633e+02
10000,2,23,1.251,860,1,-6.166055e+02
10000,2,24,1.317,200,1,-1.199219e+00
10000,2,25,1.551,200,1,-2.960156e+01
10000,2,26,1.384,640,1,-2.422461e+02
10000,2,27,0.951,200,1,1.203125e+00
10000,2,28,1.201,860,1,-6.683867e+02
10000,2,29,1.001,420,1,-1.702266e+02
10000,2,30,2.535,860,1,7.323945e+02
10000,2,31,0.901,640,1,4.544727e+02
10000,2,32,1.201,200,1,-1.857812e+01
10000,2,33,0.850,640,1,-3.686211e+02
10000,2,34,1.117,200,1,-1.235938e+01
10000,2,35,0.734,420,1,-1.124531e+02
10000,2,36,0.768,860,1,-4.766250e+02
10000,2,37,0.867,420,1,2.825977e+02
10000,2,38,0.818,420,1,-2.662305e+02
10000,2,39,0.851,640,1,-4.963125e+02
10000,2,40,2.685,860,1,-6.579141e+02
10000,2,41,1.001,420,1,-3.133984e+02
10000,2,42,1.334,860,1,-6.860820e+02
10000,2,43,2.351,860,1,-6.908867e+02
10000,2,44,0.951,200,1,-5.906250e+00
10000,2,45,1.152,860,1,6.869609e+02
10000,2,46,1.967,860,1,-6.444648e+02
10000,2,47,2.751,420,1,2.391484e+02
10000,2,48,1.701,640,1,4.366211e+02
10000,2,49,0.901,200,1,-9.066797e+01
10000,2,50,1.117,860,1,-6.883086e+02
10000,2,51,1.584,640,1,-4.807070e+02
