Spread,Block,Trial,Time_elapsed,Delta,click_num,Placed_x

1,1,1,6.591,700,1,203
1,1,2,2.146,5.333333e+02,1,-209

1,1,3,3.049,5.333333e+02,1,-180

1,1,4,1.382,200,1,14

1,1,5,2.010,5.333333e+02,1,256

1,1,6,1.482,3.666667e+02,1,-262

1,1,7,2.550,700,1,-178

1,1,8,1.766,5.333333e+02,1,-414

1,1,9,2.749,200,1,107

1,1,10,1.800,5.333333e+02,1,-389

1,1,10,3.466,5.333333e+02,2,-221

1,1,11,2.883,3.666667e+02,1,-76

1,1,12,1.416,200,1,-82

1,1,13,1.400,3.666667e+02,1,193

1,1,14,3.283,700,1,-511

1,1,15,3.166,5.333333e+02,1,-184

1,1,16,2.616,3.666667e+02,1,9

1,1,17,1.873,700,1,-466

1,1,18,1.916,700,1,367

1,1,18,3.549,700,2,-582

1,1,19,1.300,200,1,49

1,1,20,1.716,200,1,-114

1,1,21,3.133,700,1,-307

1,1,22,1.866,700,1,-449

1,1,23,2.133,3.666667e+02,1,-23

1,1,24,1.916,3.666667e+02,1,-13

1,1,25,1.600,200,1,1

1,1,26,1.717,200,1,-10

1,1,27,1.717,200,1,15

1,1,28,1.667,5.333333e+02,1,-246

1,1,29,1.550,200,1,4

1,1,30,2.083,200,1,9

1,1,31,2.017,5.333333e+02,1,365

1,1,32,2.016,5.333333e+02,1,-61

1,1,33,1.917,3.666667e+02,1,-259

1,1,34,2.916,700,1,-603

1,1,35,1.417,3.666667e+02,1,272

1,1,36,2.666,700,1,325

1,1,37,1.850,200,1,-103

1,1,38,2.983,3.666667e+02,1,72

1,1,39,4.750,3.666667e+02,1,8

1,1,40,2.533,5.333333e+02,1,-206

1,1,41,2.217,3.666667e+02,1,-258

1,1,42,3.483,700,1,51

1,1,43,1.667,200,1,0

1,1,44,1.750,700,1,-515

1,1,45,2.250,200,1,16

1,1,46,3.016,700,1,-487

1,1,47,4.516,700,1,384

1,1,48,1.467,700,1,-17

1,1,49,2.000,3.666667e+02,1,-242

1,1,50,1.800,5.333333e+02,1,243

1,1,51,1.633,3.666667e+02,1,100

1,1,52,3.133,700,1,192

1,1,53,1.700,5.333333e+02,1,-90

1,1,54,2.300,5.333333e+02,1,-345

1,1,55,1.783,3.666667e+02,1,-8

1,1,56,3.233,5.333333e+02,1,-280

1,1,57,1.567,200,1,-9

1,1,58,1.500,200,1,0

1,1,59,2.050,5.333333e+02,1,141

1,1,60,2.533,3.666667e+02,1,52

10000,2,1,2.306,200,1,-10

10000,2,2,3.516,3.666667e+02,1,-11

10000,2,3,2.166,3.666667e+02,1,-16

10000,2,4,2.800,200,1,-6

10000,2,5,1.700,200,1,-5

10000,2,6,5.082,700,1,457

10000,2,7,3.516,5.333333e+02,1,253

10000,2,8,1.650,200,1,-12

10000,2,9,2.100,200,1,-9

10000,2,10,2.532,5.333333e+02,1,-404

10000,2,11,2.583,3.666667e+02,1,4

10000,2,12,2.083,700,1,451

10000,2,13,2.483,5.333333e+02,1,242

10000,2,14,2.816,700,1,-383

10000,2,15,2.183,200,1,-5

10000,2,16,2.716,3.666667e+02,1,-14

10000,2,17,1.416,3.666667e+02,1,-15

10000,2,18,2.416,200,1,-15

10000,2,19,1.666,700,1,378

10000,2,20,3.150,700,1,-519

10000,2,21,2.783,5.333333e+02,1,-383

10000,2,22,2.716,5.333333e+02,1,255

10000,2,23,1.583,3.666667e+02,1,-21

10000,2,24,4.116,3.666667e+02,1,-7

10000,2,25,1.733,200,1,-13

10000,2,26,1.333,200,1,-1

10000,2,27,1.733,700,1,464

10000,2,28,1.833,700,1,-537

10000,2,29,1.217,5.333333e+02,1,-326

10000,2,30,2.133,3.666667e+02,1,-6

10000,2,31,1.617,5.333333e+02,1,315

10000,2,32,1.083,200,1,3

10000,2,33,2.166,5.333333e+02,1,-347

10000,2,34,1.150,200,1,-8

10000,2,35,2.300,5.333333e+02,1,-323

10000,2,36,1.417,3.666667e+02,1,-7

10000,2,37,1.250,200,1,-17

10000,2,38,1.783,5.333333e+02,1,273

10000,2,39,1.650,5.333333e+02,1,-426

10000,2,40,1.433,5.333333e+02,1,399

10000,2,41,2.117,5.333333e+02,1,-420

10000,2,42,1.450,200,1,-12

10000,2,43,1.467,700,1,431

10000,2,44,1.550,3.666667e+02,1,-21

10000,2,45,1.233,3.666667e+02,1,-14

10000,2,46,1.317,200,1,-17

10000,2,47,1.284,700,1,584

10000,2,48,1.334,3.666667e+02,1,2

10000,2,49,1.400,700,1,-516

10000,2,50,2.133,700,1,-531

10000,2,51,2.500,5.333333e+02,1,319

10000,2,52,1.134,700,1,-535

10000,2,53,1.417,700,1,-551

10000,2,54,1.783,3.666667e+02,1,-3

10000,2,55,1.833,700,1,579

10000,2,56,3.016,5.333333e+02,1,-343

10000,2,57,1.800,3.666667e+02,1,-27

10000,2,58,2.550,700,1,447

10000,2,59,1.417,3.666667e+02,1,-17

10000,2,60,2.033,200,1,-23
