Spread,Delta,Y_or_N,Confidence
10000,366.667,1,770
10000,700.000,0,794
10000,533.333,0,800
10000,200.000,1,800
10000,700.000,0,800
10000,366.667,1,746
10000,200.000,1,800
10000,533.333,0,635
1,366.667,1,483
1,700.000,0,800
1,533.333,0,706
1,200.000,1,800
1,700.000,0,791
1,366.667,1,627
1,200.000,1,791
1,533.333,0,633
