Spread,Delta, Estimate
1,3.666667e+02,5.000000e-01
1,700,5.000000e-01
1,5.333333e+02,5.000000e-01
1,200,5.000000e-01
1,700,5.000000e-01
1,3.666667e+02,5.000000e-01
1,200,5.000000e-01
1,5.333333e+02,5.000000e-01
1,3.666667e+02,5.000000e-01
1,700,5.000000e-01
1,5.333333e+02,5.000000e-01
1,200,5.000000e-01
1,700,5.000000e-01
1,3.666667e+02,5.000000e-01
1,200,5.000000e-01
1,5.333333e+02,5.000000e-01
