Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10000,1,1,530,2.435,-178,-2.448945e+02,1,5,0
2,10000,1,2,530,1.818,-12,2.370859e+02,1,5,1
2,10000,1,3,530,1.868,105,-3.039414e+02,1,5,0
2,10000,1,4,860,2.519,-116,6.341211e+02,-1,5,0
2,10000,1,5,200,1.499,40,9.234375e+00,1,5,1
2,10000,1,6,365,2.066,60,-1.858203e+01,1,5,1
2,10000,1,7,695,2.018,344,3.352578e+02,1,5,1
2,10000,1,8,200,1.801,-75,-3.292969e+00,1,5,1
2,10000,1,9,530,2.569,-36,2.066758e+02,1,5,1
2,10000,1,10,365,2.886,-155,2.460156e+01,1,5,1
2,10000,1,11,695,2.135,344,4.512930e+02,-1,5,0
2,10000,1,12,200,1.618,-80,3.855469e+00,-1,5,1
2,10000,1,13,860,1.918,252,5.503203e+02,-1,5,0
2,10000,1,14,365,1.718,163,4.217188e+01,1,5,1
2,10000,1,15,530,1.785,-32,2.412461e+02,1,5,1
2,10000,1,16,860,1.918,14,4.618555e+02,1,5,1
2,10000,1,17,860,2.185,-88,-4.554805e+02,-1,5,1
2,10000,1,18,365,1.801,127,1.700391e+02,-1,5,1
2,10000,1,19,365,1.768,159,1.404609e+02,-1,5,1
2,10000,1,20,365,1.635,-173,-6.321875e+01,-1,5,1
2,10000,1,21,695,1.985,18,-4.078711e+02,1,5,0
2,10000,1,22,365,1.584,180,1.138711e+02,1,5,1
2,10000,1,23,530,1.685,-8,3.218633e+02,1,5,1
2,10000,1,24,530,1.701,7,2.522227e+02,1,5,1
2,10000,1,25,365,1.968,-32,-1.310195e+02,1,5,1
2,10000,1,26,200,1.787,71,-6.894531e+00,1,5,1
2,10000,1,27,695,1.634,35,4.244570e+02,-1,5,0
2,10000,1,28,695,2.135,-73,-4.506328e+02,1,5,0
2,10000,1,29,365,1.585,134,-7.732422e+01,1,5,1
2,10000,1,30,860,1.701,-385,-4.871836e+02,-1,5,1
2,10000,1,31,530,3.637,-25,-2.164609e+02,-1,5,1
2,10000,1,32,695,1.885,-22,-3.432578e+02,-1,5,1
2,10000,1,33,365,1.651,-15,1.655508e+02,1,5,1
2,10000,1,34,200,1.618,-29,4.120312e+01,1,5,1
2,10000,1,35,365,1.618,133,1.733594e+02,1,5,1
2,10000,1,36,530,1.534,-16,-5.519922e+01,1,5,0
2,10000,1,37,860,1.635,209,3.305625e+02,1,5,1
2,10000,1,38,200,2.102,-80,1.802344e+01,1,5,1
2,10000,1,39,695,1.818,-223,-2.017188e+01,-1,5,0
