Spread,Delta, Estimate
1,365,6.000000e-01
1,695,3.000000e-01
1,860,0
1,530,4.000000e-01
1,200,5.000000e-01
1,695,5.000000e-01
1,365,6.000000e-01
1,200,7.000000e-01
1,530,5.000000e-01
1,860,0
10000,365,7.000000e-01
10000,695,5.000000e-01
10000,860,2.000000e-01
10000,530,6.000000e-01
10000,200,6.000000e-01
10000,695,4.000000e-01
10000,365,7.000000e-01
10000,200,9.000000e-01
10000,530,5.000000e-01
10000,860,4.000000e-01
