Condition,Spread,Block,Trial,Delta,RT,Initial_x,Placed_x,Target_side,Speed,Success
2,10000,2,12,530,1.718,169,-2.394102e+02,-1,5,1
2,10000,2,13,860,2.119,-251,5.337383e+02,-1,5,0
2,10000,2,14,200,1.735,68,-2.219922e+01,-1,5,1
2,10000,2,15,860,1.868,-63,5.151562e+02,-1,5,0
2,10000,2,16,695,2.035,157,3.159844e+02,-1,5,0
2,10000,2,17,200,1.851,33,-7.441406e+00,1,5,1
2,10000,2,18,365,2.185,-48,-1.840234e+01,1,5,1
2,10000,2,19,530,2.219,213,-1.670977e+02,-1,5,1
2,10000,2,20,695,1.785,-205,3.823984e+02,1,5,1
2,10000,2,21,200,1.568,76,-8.316406e+00,1,5,1
2,10000,2,22,365,1.501,74,1.666406e+01,1,5,1
2,10000,2,23,530,2.486,201,-2.096641e+02,1,5,0
2,10000,2,24,530,1.685,-81,2.552344e+02,1,5,1
2,10000,2,25,200,2.202,71,-8.257812e+00,-1,5,1
2,10000,2,26,200,1.517,-66,-3.617188e+00,-1,5,1
2,10000,2,27,200,1.851,47,-1.645312e+01,-1,5,1
2,10000,2,28,695,1.568,131,-4.281016e+02,1,5,0
2,10000,2,29,365,3.186,-61,-4.483984e+01,1,5,1
2,10000,2,30,860,2.502,233,-4.633281e+02,1,5,0
2,10000,2,31,365,1.518,-2,2.353516e+01,1,5,1
2,10000,2,32,860,1.735,-4,4.487266e+02,1,5,1
2,10000,2,33,860,1.835,-21,6.075469e+02,-1,5,0
2,10000,2,34,365,1.885,89,-6.770703e+01,-1,5,1
2,10000,2,35,365,1.901,-117,-5.204297e+01,1,5,1
2,10000,2,36,365,1.918,72,-1.920312e+01,-1,5,1
2,10000,2,37,530,1.634,260,-1.106484e+02,-1,5,1
2,10000,2,38,695,2.319,-307,4.389688e+02,1,5,1
2,10000,2,39,200,1.768,-47,2.828125e+00,1,5,1
2,10000,2,40,200,1.501,-69,5.089844e+00,1,5,1
2,10000,2,41,200,1.634,-42,-2.566406e+00,-1,5,1
2,10000,2,42,200,1.752,-95,1.035938e+01,-1,5,1
2,10000,2,43,530,3.203,-164,2.262656e+02,1,5,1
2,10000,2,44,530,2.319,9,-2.406875e+02,1,5,0
2,10000,2,45,860,2.436,-261,-4.618555e+02,-1,5,1
2,10000,2,46,365,2.002,30,8.878125e+01,-1,5,1
2,10000,2,47,860,1.468,298,4.909688e+02,1,5,1
2,10000,2,48,365,1.418,-152,-1.502266e+02,1,5,1
2,10000,2,49,860,2.085,-165,-4.530273e+02,1,5,0
2,10000,2,50,365,1.551,9,1.754688e+01,1,5,1
2,10000,2,51,695,1.668,0,-3.840547e+02,1,5,0
2,10000,2,52,365,1.484,137,-1.236328e+01,1,5,1
2,10000,2,53,200,1.635,-55,7.457031e+00,-1,5,1
2,10000,2,54,530,1.751,7,7.958594e+01,-1,5,0
2,10000,2,55,695,1.601,84,-3.603711e+02,-1,5,1
2,10000,2,56,200,2.252,-59,1.044141e+01,-1,5,1
2,10000,2,57,365,2.703,-73,-1.957031e+00,-1,5,1
2,10000,2,58,530,1.735,-249,1.908086e+02,-1,5,0
2,10000,2,59,530,2.619,219,1.603281e+02,1,5,1
2,10000,2,60,860,1.851,357,-5.533750e+02,-1,5,1
2,10000,2,61,200,1.484,25,3.385156e+01,-1,5,1
2,10000,2,62,860,1.834,362,6.276914e+02,-1,5,0
2,10000,2,63,365,1.735,71,-2.303125e+01,-1,5,1
2,10000,2,64,530,2.352,156,1.745742e+02,1,5,1
2,10000,2,65,365,1.801,161,-1.919922e+01,-1,5,1
