Spread,Delta, Estimate
1,365,5.000000e-01
1,695,4.000000e-01
1,860,2.000000e-01
1,530,4.000000e-01
1,200,1
1,695,4.000000e-01
1,365,6.000000e-01
1,200,1
1,530,5.000000e-01
1,860,2.000000e-01
10000,365,6.000000e-01
10000,695,3.000000e-01
10000,860,0
10000,530,4.000000e-01
10000,200,1
10000,695,2.000000e-01
10000,365,7.000000e-01
10000,200,1
10000,530,5.000000e-01
10000,860,0
